sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes,sampleDate
PV2074,LRWRP,rawWW,cpTP24h,,2022-11-28 06:40:00,2022-11-29 06:40:00,1.0,,Yes,,,Sample picked up at plant and transported directly to lab,2022-11-29
PV2075,LRWRP,rawWW,cpTP24h,,2022-11-29 06:40:00,2022-11-30 06:40:00,1.0,,Yes,,,Sample picked up at plant and transported directly to lab,2022-11-30
PV2080,CHWW,rawWW,cpTP24h,,2022-11-29 07:00:00,2022-11-30 07:00:00,0.5,12.2,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2022-11-30
PV2081,TB,rawWW,cpTP24h,,2022-11-29 09:15:00,2022-11-30 09:15:00,0.5,5.7,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2022-11-30
PV2082,LA,rawWW,cpTP24h,,2022-11-30 08:00:00,2022-12-01 08:00:00,1.0,17.1,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-01
PV2083,LRPCP,rawWW,cpTP24h,,2022-11-30 00:00:00,2022-12-01 00:00:00,1.0,16.8,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-01
PV2084,LRPCP,rawWW,cpTP24h,,2022-12-01 00:00:00,2022-12-02 00:00:00,1.0,16.8,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-02
PV2085,LRWRP,rawWW,cpTP24h,,2022-11-30 07:00:00,2022-12-01 07:00:00,1.0,16.6,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-01
PV2086,LRWRP,rawWW,cpTP24h,,2022-12-01 07:00:00,2022-12-02 07:00:00,1.0,16.6,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-02
PV2087,MQ Blank,,grb,2022-12-05 09:00:00,,,,,,,,,2022-12-05
PV2088,AM,rawWW,cpTP24h,,2022-12-01 06:30:00,2022-12-02 06:30:00,1.0,,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-02
PV2089,AM,rawWW,cpTP24h,,2022-12-04 06:30:00,2022-12-05 06:30:00,1.0,16.9,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-05
PV2090,LPCC,rawWW,cpTP24h,,2022-11-29 07:30:00,2022-11-30 07:30:00,1.0,16.1,Yes,,,Sample picked up at plant and transported directly to lab,2022-11-30
PV2091,LPCC,rawWW,cpTP24h,,2022-12-01 07:00:00,2022-12-02 07:00:00,1.0,17.7,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-02
PV2092,LPCC,rawWW,cpTP24h,,2022-12-04 07:00:00,2022-12-05 07:00:00,1.0,16.4,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-05
PV2093,LRPCP,rawWW,cpTP24h,,2022-12-04 00:00:00,2022-12-05 00:00:00,1.0,16.7,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-05
