uSiteMeasureID,siteID,sampleID,reporterID,dateTime,type,typeOther,typeDescription,aggregation,aggregationOther,aggregationDesc,value,unit,notes,Unnamed: 14
SM_LA36_F,LA,PM252,McKay-GLIER,2020-12-28 10:00:00,wwFlow,,Spot check flow,single,,,194.2,L/s,,
SM_LA38_F,LA,PM346,McKay-GLIER,2021-01-21 08:23:00,wwFlow,,Spot check flow,single,,,119.0,L/s,,
SM_LA39_F,LA,PM381,McKay-GLIER,2021-01-26 08:00:00,wwFlow,,Spot check flow,single,,,129.9,L/s,,
SM_LA40_F_Spot,LA,PM411,McKay-GLIER,2021-02-03 13:00:00,wwFlow,,Spot check flow,single,,,137.77,L/s,,
SM_LA41_F_Spot,LA,PM435,McKay-GLIER,2021-02-11 13:00:00,wwFlow,,Spot check flow,single,,,123.4,L/s,,
SM_LA42_F_Spot,LA,PM459,McKay-GLIER,2021-02-17 10:00:00,wwFlow,,Spot check flow,single,,,119.1,L/s,,
SM_LA43_F_Spot,LA,PM488,McKay-GLIER,2021-02-24 10:00:00,wwFlow,,Spot check flow,mean,,,384.16,L/s,,
SM_LA44_F,LA,PM507,McKay-GLIER,2021-03-02 08:30:00,wwFlow,,Spot check flow,single,,,198.8,L/s,,
SM_LA45_F,LA,PM543,McKay-GLIER,2021-03-10 09:00:00,wwFlow,,Spot check flow,single,,,186.0,L/s,,
SM_LA46_F,LA,PM572,McKay-GLIER,2021-03-17 12:00:00,wwFlow,,Spot check flow,single,,,152.41,L/s,,
SM_LA47_F,LA,PM588,McKay-GLIER,2021-03-22 12:00:00,wwFlow,,Spot check flow,single,,,146.87,L/s,,
SM_LA50_F,LA,PM655,McKay-GLIER,2021-04-06 11:00:00,wwFlow,,Spot check flow,single,,,185.4,L/s,,
SM_LA51_F,LA,PM682,McKay-GLIER,2021-04-14 09:00:00,wwFlow,,Spot check flow,single,,,133.6,L/s,,
SM_LA52_F,LA,PM698,McKay-GLIER,2021-04-19 09:00:00,wwFlow,,Spot check flow,single,,,132.4,L/s,,
SM_LA54_F,LA,PM753,McKay-GLIER,2021-05-05 08:00:00,wwFlow,,Spot check flow,single,,,130.2,L/s,,
SM_LA55_F,LA,PM770,McKay-GLIER,2021-05-10 08:00:00,wwFlow,,Spot check flow,single,,,143.31,L/s,,
SM_LA56_F,LA,PM795,McKay-GLIER,2021-05-19 08:15:00,wwFlow,,Spot check flow,single,,,151.9,L/s,,
SM_LPCC15_F_Spot,LPCC,PM246,McKay-GLIER,2021-01-04 05:30:00,wwFlow,,Spot check flow,single,,,190.0,L/s,,
SM_LPCC16_F_Spot,LPCC,PM254,McKay-GLIER,2021-01-04 05:30:00,wwFlow,,Spot check flow,single,,,164.0,L/s,,
SM_LPCC17_F_Spot,LPCC,PM259,McKay-GLIER,2021-01-08 05:30:00,wwFlow,,Spot check flow,single,,,218.0,L/s,,
SM_LPCC18_F,LPCC,PM274,McKay-GLIER,2021-01-11 05:30:00,wwFlow,,Measured daily average flow,mean,,,174.0,L/s,,
SM_LPCC18_F_Spot,LPCC,PM259,McKay-GLIER,2021-01-08 05:30:00,wwFlow,,Spot check flow,single,,,160.0,L/s,,
SM_LPCC19_F,LPCC,PM294,McKay-GLIER,2021-01-13 05:30:00,wwFlow,,Measured daily average flow,mean,,,190.0,L/s,,
SM_LPCC19_F_Spot,LPCC,PM294,McKay-GLIER,2021-01-13 05:30:00,wwFlow,,Spot check flow,single,,,169.0,L/s,,
SM_LPCC20_F,LPCC,PM302,McKay-GLIER,2021-01-15 05:30:00,wwFlow,,Measured daily average flow,mean,,,196.0,L/s,,
SM_LPCC20_F_Spot,LPCC,PM302,McKay-GLIER,2021-01-15 05:30:00,wwFlow,,Spot check flow,single,,,180.0,L/s,,
SM_LPCC21_F,LPCC,PM322,McKay-GLIER,2021-01-18 00:00:00,wwFlow,,Measured daily average flow,mean,,,175.0,L/s,,
SM_LPCC21_F_Spot,LPCC,PM322,McKay-GLIER,2021-01-18 00:00:00,wwFlow,,Spot check flow,single,,,165.0,L/s,,
SM_LPCC22_F,LPCC,PM329,McKay-GLIER,2021-01-20 00:00:00,wwFlow,,Measured daily average flow,mean,,,198.0,L/s,,
SM_LPCC22_F_Spot,LPCC,PM329,McKay-GLIER,2021-01-20 00:00:00,wwFlow,,Spot check flow,single,,,156.0,L/s,,
SM_LPCC23_F,LPCC,PM347,McKay-GLIER,2021-01-22 00:00:00,wwFlow,,Measured daily average flow,mean,,,194.0,L/s,,
SM_LPCC23_F_Spot,LPCC,PM347,McKay-GLIER,2021-01-22 00:00:00,wwFlow,,Spot check flow,single,,,171.0,L/s,,
SM_LPCC24_F,LPCC,PM354,McKay-GLIER,2021-01-20 00:00:00,wwFlow,,Measured daily average flow,mean,,,194.0,L/s,,
SM_LPCC24_F_Spot,LPCC,PM354,McKay-GLIER,2021-01-20 00:00:00,wwFlow,,Spot check flow,single,,,171.0,L/s,,
SM_LPCC25_F,LPCC,PM382,McKay-GLIER,2021-01-27 00:00:00,wwFlow,,Measured daily average flow,mean,,,213.5,L/s,,
SM_LPCC25_F_Spot,LPCC,PM382,McKay-GLIER,2021-01-27 00:00:00,wwFlow,,Spot check flow,single,,,150.0,L/s,,
SM_LPCC26_F,LPCC,PM386,McKay-GLIER,2021-01-29 00:00:00,wwFlow,,Measured daily average flow,mean,,,189.0,L/s,,
SM_LPCC26_F_Spot,LPCC,PM386,McKay-GLIER,2021-01-29 00:00:00,wwFlow,,Spot check flow,single,,,150.0,L/s,,
SM_LPCC28_F,LPCC,PM404,McKay-GLIER,2021-02-03 04:00:00,wwFlow,,Measured daily average flow,mean,,,193.0,L/s,,
SM_LPCC28_F_Spot,LPCC,PM404,McKay-GLIER,2021-02-03 04:00:00,wwFlow,,Spot check flow,single,,,140.0,L/s,,
SM_LPCC29_F,LPCC,PM410,McKay-GLIER,2021-02-05 04:20:00,wwFlow,,Measured daily average flow,mean,,,215.0,L/s,,
SM_LPCC29_F_Spot,LPCC,PM410,McKay-GLIER,2021-02-05 04:20:00,wwFlow,,Spot check flow,single,,,223.0,L/s,,
SM_LPCC30_F,LPCC,PM424,McKay-GLIER,2021-02-08 04:05:00,wwFlow,,Measured daily average flow,mean,,,161.0,L/s,,
SM_LPCC30_F_Spot,LPCC,PM424,McKay-GLIER,2021-02-08 04:05:00,wwFlow,,Spot check flow,single,,,145.0,L/s,,
SM_LPCC31_F,LPCC,PM432,McKay-GLIER,2021-02-10 04:00:00,wwFlow,,Measured daily average flow,mean,,,187.0,L/s,,
SM_LPCC31_F_Spot,LPCC,PM432,McKay-GLIER,2021-02-10 04:00:00,wwFlow,,Spot check flow,single,,,150.0,L/s,,
SM_LPCC32_F,LPCC,PM438,McKay-GLIER,2021-02-12 04:10:00,wwFlow,,Measured daily average flow,mean,,,182.0,L/s,,
SM_LPCC32_F_Spot,LPCC,PM438,McKay-GLIER,2021-02-12 04:10:00,wwFlow,,Spot check flow,single,,,133.0,L/s,,
SM_LPCC33_F,LPCC,PM454,McKay-GLIER,2021-02-17 03:45:00,wwFlow,,Measured daily average flow,mean,,,182.0,L/s,,
SM_LPCC33_F_Spot,LPCC,PM454,McKay-GLIER,2021-02-17 03:45:00,wwFlow,,Spot check flow,single,,,133.0,L/s,,
SM_LPCC34_F,LPCC,PM463,McKay-GLIER,2021-02-19 03:50:00,wwFlow,,Measured daily average flow,mean,,,189.0,L/s,,
SM_LPCC34_F_Spot,LPCC,PM463,McKay-GLIER,2021-02-19 03:50:00,wwFlow,,Spot check flow,single,,,196.0,L/s,,
SM_LPCC35_F,LPCC,PM475,McKay-GLIER,2021-02-22 04:10:00,wwFlow,,Measured daily average flow,mean,,,161.0,L/s,,
SM_LPCC35_F_Spot,LPCC,PM475,McKay-GLIER,2021-02-22 04:10:00,wwFlow,,Spot check flow,single,,,135.0,L/s,,
SM_LPCC36_F,LPCC,PM484,McKay-GLIER,2021-02-24 04:25:00,wwFlow,,Measured daily average flow,mean,,,261.0,L/s,,
SM_LPCC36_F_Spot,LPCC,PM484,McKay-GLIER,2021-02-24 04:25:00,wwFlow,,Spot check flow,single,,,193.0,L/s,,
SM_LPCC37_F,LPCC,PM492,McKay-GLIER,2021-02-26 03:55:00,wwFlow,,Measured daily average flow,mean,,,231.0,L/s,,
SM_LPCC37_F_Spot,LPCC,PM492,McKay-GLIER,2021-02-26 03:55:00,wwFlow,,Spot check flow,single,,,172.0,L/s,,
SM_LPCC38_F_Spot,LPCC,PM502,McKay-GLIER,2021-03-01 07:00:00,wwFlow,,Spot check flow,single,,,239.0,L/s,,
SM_LPCC39_F,LPCC,PM511,McKay-GLIER,2021-03-03 07:45:00,wwFlow,,Measured daily average flow,mean,,,270.79,L/s,,
SM_LPCC40_F,LPCC,PM520,McKay-GLIER,2021-03-05 07:15:00,wwFlow,,Measured daily average flow,mean,,,309.0,L/s,,
SM_LPCC41_F,LPCC,PM527,McKay-GLIER,2021-03-08 07:00:00,wwFlow,,Measured daily average flow,mean,,,253.0,L/s,,
SM_LPCC41_F_Spot,LPCC,PM527,McKay-GLIER,2021-03-08 07:00:00,wwFlow,,Spot check flow,single,,,243.0,L/s,,
SM_LPCC42_F,LPCC,PM539,McKay-GLIER,2021-03-10 07:30:00,wwFlow,,Measured daily average flow,mean,,,283.0,L/s,,
SM_LPCC43_F,LPCC,PM547,McKay-GLIER,2021-03-12 00:00:00,wwFlow,,Measured daily average flow,mean,,,273.0,L/s,,
SM_LPCC44_F,LPCC,PM555,McKay-GLIER,2021-03-15 07:00:00,wwFlow,,Measured daily average flow,mean,,,210.0,L/s,,
SM_LPCC45_F,LPCC,PM567,McKay-GLIER,2021-03-17 07:00:00,wwFlow,,Measured daily average flow,mean,,,243.0,L/s,,
SM_LPCC46_F,LPCC,PM575,McKay-GLIER,2021-03-19 07:00:00,wwFlow,,Measured daily average flow,mean,,,243.0,L/s,,
SM_LPCC47_F,LPCC,PM584,McKay-GLIER,2021-03-22 07:00:00,wwFlow,,Measured daily average flow,mean,,,201.4,L/s,,
SM_LPCC48_F,LPCC,PM592,McKay-GLIER,2021-03-24 07:00:00,wwFlow,,Measured daily average flow,mean,,,264.0,L/s,,
SM_LPCC49_F,LPCC,PM604,McKay-GLIER,2021-03-26 07:00:00,wwFlow,,Measured daily average flow,mean,,,384.3,L/s,,
SM_LPCC50_F,LPCC,PM620,McKay-GLIER,2021-03-29 06:45:00,wwFlow,,Measured daily average flow,mean,,,172.1,L/s,,
SM_LPCC51_F,LPCC,PM626,McKay-GLIER,2021-03-31 07:30:00,wwFlow,,Measured daily average flow,mean,,,187.0,L/s,,
SM_LPCC53_F,LPCC,PM658,McKay-GLIER,2021-04-08 07:00:00,wwFlow,,Measured daily average flow,mean,,,258.0,L/s,,
SM_LPCC53_F,LPCC,PM650,McKay-GLIER,2021-04-07 07:00:00,wwFlow,,Measured daily average flow,mean,,,159.0,L/s,,
SM_LPCC54_F,LPCC,PM667,McKay-GLIER,2021-04-12 07:00:00,wwFlow,,Measured daily average flow,mean,,,148.0,L/s,,
SM_LPCC55_F,LPCC,PM676,McKay-GLIER,2021-04-14 07:00:00,wwFlow,,Measured daily average flow,mean,,,199.0,L/s,,
SM_LPCC56_F,LPCC,PM686,McKay-GLIER,2021-04-16 07:00:00,wwFlow,,Measured daily average flow,mean,,,176.0,L/s,,
SM_LPCC56_F,LPCC,PM691,McKay-GLIER,2021-04-19 07:00:00,wwFlow,,Measured daily average flow,mean,,,136.0,L/s,,
SM_LPCC58_F,LPCC,PM699,McKay-GLIER,2021-04-21 07:00:00,wwFlow,,Measured daily average flow,mean,,,206.0,L/s,,
SM_LPCC59_F,LPCC,PM708,McKay-GLIER,2021-04-23 07:00:00,wwFlow,,Measured daily average flow,mean,,,192.0,L/s,,
SM_LPCC60_F,LPCC,PM715,McKay-GLIER,2021-04-26 07:00:00,wwFlow,,Measured daily average flow,mean,,,145.0,L/s,,
SM_LPCC61_F,LPCC,PM721,McKay-GLIER,2021-04-28 07:00:00,wwFlow,,Measured daily average flow,mean,,,171.0,L/s,,
SM_LPCC63_F,LPCC,PM739,McKay-GLIER,2021-05-03 07:00:00,wwFlow,,Measured daily average flow,mean,,,149.0,L/s,,
SM_LPCC64_F,LPCC,PM745,McKay-GLIER,2021-05-05 07:00:00,wwFlow,,Measured daily average flow,mean,,,199.0,L/s,,
SM_LPCC65_F,LPCC,PM754,McKay-GLIER,2021-05-07 07:00:00,wwFlow,,Measured daily average flow,mean,,,186.0,L/s,,
SM_LPCC66_F,LPCC,PM763,McKay-GLIER,2021-05-10 07:00:00,wwFlow,,Measured daily average flow,mean,,,215.0,L/s,,
SM_LPCC67_F,LPCC,PM771,McKay-GLIER,2021-05-12 06:30:00,wwFlow,,Measured daily average flow,mean,,,188.0,L/s,,
SM_LPCC68_F,LPCC,PM783,McKay-GLIER,2021-05-14 07:00:00,wwFlow,,Measured daily average flow,mean,,,159.1,L/s,,
SM_LPCC69_F,LPCC,PM789,McKay-GLIER,2021-05-17 07:00:00,wwFlow,,Measured daily average flow,mean,,,139.06,L/s,,
SM_LPCC70_F,LPCC,PM798,McKay-GLIER,2021-05-19 07:00:00,wwFlow,,Measured daily average flow,mean,,,160.1,L/s,,
SM_LPCC71_F,LPCC,PM805,McKay-GLIER,2021-05-21 07:00:00,wwFlow,,Measured daily average flow,mean,,,163.1,L/s,,
SM_TB04_F_Spot,TB,PM479,McKay-GLIER,2021-02-22 09:00:00,wwFlow,,Field hand-held probe,max,,,480.56,L/s,,
SM_AM39_F,AM,PM353,McKay-GLIER,2021-01-25 06:00:00,wwFlow,,Measured daily average flow,mean,,,5616.7,m3/d,,
SM_AM40_F,AM,PM380,McKay-GLIER,2021-01-27 06:00:00,wwFlow,,Measured daily average flow,mean,,,5731.3,m3/d,,
SM_AM42_F,AM,PM403,McKay-GLIER,2021-02-03 06:00:00,wwFlow,,Measured daily average flow,mean,,,5184.2,m3/d,,
SM_AM43_F,AM,PM421,McKay-GLIER,2021-02-08 06:00:00,wwFlow,,Measured daily average flow,mean,,,4881.3,m3/d,,
SM_AM44_F,AM,PM429,McKay-GLIER,2021-02-10 06:00:00,wwFlow,,Measured daily average flow,mean,,,4975.8,m3/d,,
SM_AM45_F,AM,PM450,McKay-GLIER,2021-02-17 06:00:00,wwFlow,,Measured daily average flow,mean,,,5037.1,m3/d,,
SM_AM46_F,AM,PM472,McKay-GLIER,2021-02-22 06:00:00,wwFlow,,Measured daily average flow,mean,,,5464.2,m3/d,,
SM_AM47_F,AM,PM480,McKay-GLIER,2021-02-24 06:00:00,wwFlow,,Measured daily average flow,mean,,,7418.3,m3/d,,
SM_AM49_F,AM,PM506,McKay-GLIER,2021-03-03 06:00:00,wwFlow,,Measured daily average flow,mean,,,9510.4,m3/d,,
SM_AM50_F,AM,PM523,McKay-GLIER,2021-03-08 06:00:00,wwFlow,,Measured daily average flow,mean,,,6700.9,m3/d,,
SM_AM51_F,AM,PM531,McKay-GLIER,2021-03-08 06:00:00,wwFlow,,Measured daily average flow,mean,,,6340.4,m3/d,,
SM_AM52_F,AM,PM552,McKay-GLIER,2021-03-15 06:00:00,wwFlow,,Measured daily average flow,mean,,,5896.6,m3/d,,
SM_AM53_F,AM,PM562,McKay-GLIER,2021-03-17 06:00:00,wwFlow,,Measured daily average flow,mean,,,6711.5,m3/d,,
SM_AM54_F,AM,PM580,McKay-GLIER,2021-03-22 06:00:00,wwFlow,,Measured daily average flow,mean,,,5957.4,m3/d,,
SM_AM55_F,AM,PM587,McKay-GLIER,2021-03-24 06:00:00,wwFlow,,Measured daily average flow,mean,,,5531.6,m3/d,,
SM_AM56_F,AM,PM616,McKay-GLIER,2021-03-29 07:30:00,wwFlow,,Measured daily average flow,mean,,,14016.0,m3/d,,
SM_AM57_F,AM,PM623,McKay-GLIER,2021-03-31 07:00:00,wwFlow,,Measured daily average flow,mean,,,10881.0,m3/d,,
SM_AM59_F,AM,PM661,McKay-GLIER,2021-04-12 06:00:00,wwFlow,,Measured daily average flow,mean,,,11578.0,m3/d,,
SM_AM59_F,AM,PM646,McKay-GLIER,2021-04-07 06:00:00,wwFlow,,Measured daily average flow,mean,,,6415.2,m3/d,,
SM_AM60_F,AM,PM673,McKay-GLIER,2021-04-14 06:00:00,wwFlow,,Measured daily average flow,mean,,,7397.2,m3/d,,
SM_AM61_F,AM,PM690,McKay-GLIER,2021-04-19 06:00:00,wwFlow,,Measured daily average flow,mean,,,7497.6,m3/d,,
SM_AM62_F,AM,PM697,McKay-GLIER,2021-04-21 06:00:00,wwFlow,,Measured daily average flow,mean,,,7298.3,m3/d,,
SM_AM63_F,AM,PM714,McKay-GLIER,2021-04-26 06:00:00,wwFlow,,Measured daily average flow,mean,,,6445.0,m3/d,,
SM_AM64_F,AM,PM720,McKay-GLIER,2021-04-28 06:00:00,wwFlow,,Measured daily average flow,mean,,,6026.2,m3/d,,
SM_AM65_F,AM,PM738,McKay-GLIER,2021-05-03 06:00:00,wwFlow,,Measured daily average flow,mean,,,6711.0,m3/d,,
SM_AM66_F,AM,PM743,McKay-GLIER,2021-05-05 06:00:00,wwFlow,,Measured daily average flow,mean,,,9060.3,m3/d,,
SM_AM67_F,AM,PM762,McKay-GLIER,2021-05-10 06:00:00,wwFlow,,Measured daily average flow,mean,,,9351.5,m3/d,,
SM_AM68_F,AM,PM769,McKay-GLIER,2021-05-12 06:00:00,wwFlow,,Measured daily average flow,mean,,,7216.9,m3/d,,
SM_AM69_F,AM,PM788,McKay-GLIER,2021-05-17 06:00:00,wwFlow,,Measured daily average flow,mean,,,6374.2,m3/d,,
SM_AM70_F,AM,PM794,McKay-GLIER,2021-05-19 06:00:00,wwFlow,,Measured daily average flow,mean,,,5942.6,m3/d,,
SM_LA40_F,LA,PM411,McKay-GLIER,2021-02-03 13:00:00,wwFlow,,Measured daily average flow,mean,,,10394.08,m3/d,,
SM_LA41_F ,LA,PM435,McKay-GLIER,2021-02-11 13:00:00,wwFlow,,Measured daily average flow,mean,,,9290.4,m3/d,,
SM_LA42_F,LA,PM459,McKay-GLIER,2021-02-17 10:00:00,wwFlow,,Measured daily average flow,mean,,,9546.61,m3/d,,
SM_LA43_F ,LA,PM488,McKay-GLIER,2021-02-24 10:00:00,wwFlow,,Measured daily average flow,mean,,,21356.57,m3/d,,
SM_LA48_F,LA,PM633,McKay-GLIER,2021-03-30 10:00:00,wwFlow,,Spot check flow,single,,,18270.95,m3/d,,
SM_LPCC17_F,LPCC,PM259,McKay-GLIER,2021-01-08 05:30:00,wwFlow,,Measured daily average flow,mean,,,18876.0,m3/d,,
SM_LRPCP55_F,LRPCP,PM451,McKay-GLIER,2021-02-14 23:59:00,wwFlow,,Measured daily average flow,mean,,,33270.0,m3/d,,
SM_LRPCP82_F,LRPCP,PM716,McKay-GLIER,2021-04-25 00:00:00,wwFlow,,Measured daily average flow,mean,,,33270.0,m3/d,,
SM_NB01_F,NB,PM433,McKay-GLIER,2021-02-09 08:45:00,wwFlow,,Measured daily average flow,mean,,,23000.0,m3/d,,
SM_NB03_F,NB,PM487,McKay-GLIER,2021-02-09 08:45:00,wwFlow,,Measured daily average flow,mean,,,22423.0,m3/d,,
SM_NB05_F,NB,PM528,McKay-GLIER,2021-03-02 08:20:00,wwFlow,,Measured daily average flow,mean,,,24752.0,m3/d,,
SM_NB06_F,NB,PM542,McKay-GLIER,2021-03-09 08:30:00,wwFlow,,Measured daily average flow,mean,,,23000.0,m3/d,,
SM_NB07_F,NB,PM571,McKay-GLIER,2021-03-16 08:10:00,wwFlow,,Measured daily average flow,mean,,,35258.0,m3/d,,
SM_NB08_F,NB,PM600,McKay-GLIER,2021-03-23 07:50:00,wwFlow,,Measured daily average flow,mean,,,38768.0,m3/d,,
SM_NB09_F,NB,PM632,McKay-GLIER,2021-03-30 08:10:00,wwFlow,,Measured daily average flow,mean,,,54650.0,m3/d,,
SM_NB10_F,NB,PM654,McKay-GLIER,2021-04-05 08:25:00,wwFlow,,Measured daily average flow,mean,,,36331.0,m3/d,,
SM_NB11_F,NB,PM681,McKay-GLIER,2021-04-13 09:20:00,wwFlow,,Measured daily average flow,mean,,,32826.0,m3/d,,
SM_NB12_F,NB,PM706,McKay-GLIER,2021-04-19 07:30:00,wwFlow,,Measured daily average flow,mean,,,31841.0,m3/d,,
SM_NB14_F,NB,PM751,McKay-GLIER,2021-05-03 07:30:00,wwFlow,,Measured daily average flow,mean,,,34018.0,m3/d,,
SM_NB15_F,NB,PM781,McKay-GLIER,2021-05-10 07:00:00,wwFlow,,Measured daily average flow,mean,,,31000.0,m3/d,,
SM_NB16_F,NB,PM803,McKay-GLIER,2021-05-19 09:50:00,wwFlow,,Measured daily average flow,mean,,,28168.0,m3/d,,
SM_SOO01_F,SOO,PM427,McKay-GLIER,2021-02-08 09:30:00,wwFlow,,Measured daily average flow,mean,,,21796.0,m3/d,,
SM_SOO02_F,SOO,PM457,McKay-GLIER,2021-02-16 09:30:00,wwFlow,,Measured daily average flow,mean,,,21092.0,m3/d,,
SM_SOO03_F,SOO,PM589,McKay-GLIER,2021-02-22 09:30:00,wwFlow,,Measured daily average flow,mean,,,21851.0,m3/d,,
SM_SOO04_F,SOO,PM505,McKay-GLIER,2021-03-01 09:15:00,wwFlow,,Measured daily average flow,mean,,,24712.0,m3/d,,
SM_SOO05_F,SOO,PM530,McKay-GLIER,2021-03-01 09:15:00,wwFlow,,Measured daily average flow,mean,,,21592.0,m3/d,,
SM_SOO07_F,SOO,PM589,McKay-GLIER,2021-03-22 09:45:00,wwFlow,,Measured daily average flow,mean,,,40785.0,m3/d,,
SM_SOO08_F,SOO,PM631,McKay-GLIER,2021-03-30 08:30:00,wwFlow,,Measured daily average flow,mean,,,34631.0,m3/d,,
SM_SOO08_F,SOO,PM563,McKay-GLIER,2021-03-15 09:45:00,wwFlow,,Measured daily average flow,mean,,,33836.0,m3/d,,
SM_SOO09_F,SOO,PM653,McKay-GLIER,2021-04-05 10:05:00,wwFlow,,Measured daily average flow,mean,,,28064.0,m3/d,,
SM_SOO11_F,SOO,PM695,McKay-GLIER,2021-04-19 09:30:00,wwFlow,,Measured daily average flow,mean,,,27888.0,m3/d,,
SM_SOO13_F,SOO,PM750,McKay-GLIER,2021-05-03 09:45:00,wwFlow,,Measured daily average flow,mean,,,24367.0,m3/d,,
SM_SOO13_F,SOO,PM772,McKay-GLIER,2021-05-10 09:45:00,wwFlow,,Measured daily average flow,mean,,,24814.0,m3/d,,
SM_SOO14_F,SOO,PM796,McKay-GLIER,2021-05-17 09:45:00,wwFlow,,Measured daily average flow,mean,,,22821.0,m3/d,,
SM_AM35_F_Spot,AM,PM253,McKay-GLIER,2020-12-29 06:00:00,wwFlow,,Spot check flow,single,,,415.8,m3/h,,
SM_AM36_F_Spot,AM,PM293,McKay-GLIER,2021-01-11 06:00:00,wwFlow,,Spot check flow,single,,,303.8,m3/h,,
SM_AM37_F_Spot,AM,PM324,McKay-GLIER,2021-01-19 06:00:00,wwFlow,,Spot check flow,single,,,250.9,m3/h,,
SM_AM38_F_Spot,AM,PM325,McKay-GLIER,2021-01-20 06:00:00,wwFlow,,Spot check flow,single,,,173.1,m3/h,,
SM_AM39_F_Spot,AM,PM353,McKay-GLIER,2021-01-25 06:00:00,wwFlow,,Spot check flow,single,,,243.2,m3/h,,
SM_AM40_F_Spot,AM,PM380,McKay-GLIER,2021-01-27 06:00:00,wwFlow,,Spot check flow,single,,,238.9,m3/h,,
SM_AM42_F_Spot,AM,PM403,McKay-GLIER,2021-02-03 06:00:00,wwFlow,,Spot check flow,single,,,235.7,m3/h,,
SM_AM45_F_Spot,AM,PM450,McKay-GLIER,2021-02-17 06:00:00,wwFlow,,Spot check flow,single,,,237.5,m3/h,,
SM_AM46_F_Spot,AM,PM472,McKay-GLIER,2021-02-22 06:00:00,wwFlow,,Spot check flow,single,,,255.2,m3/h,,
SM_AM47_F_Spot,AM,PM480,McKay-GLIER,2021-02-24 06:00:00,wwFlow,,Spot check flow,single,,,438.2,m3/h,,
SM_AM48_F_Spot,AM,PM499,McKay-GLIER,2021-03-01 06:00:00,wwFlow,,Spot check flow,single,,,612.5,m3/h,,
SM_AM49_F_Spot,AM,PM506,McKay-GLIER,2021-03-03 06:00:00,wwFlow,,Spot check flow,single,,,432.7,m3/h,,
SM_AM50_F_Spot,AM,PM523,McKay-GLIER,2021-03-08 06:00:00,wwFlow,,Spot check flow,single,,,325.4,m3/h,,
SM_AM51_F_Spot,AM,PM531,McKay-GLIER,2021-03-08 06:00:00,wwFlow,,Spot check flow,single,,,279.3,m3/h,,
SM_AM52_F_Spot,AM,PM552,McKay-GLIER,2021-03-15 06:00:00,wwFlow,,Spot check flow,single,,,256.0,m3/h,,
SM_AM53_F_Spot,AM,PM562,McKay-GLIER,2021-03-17 06:00:00,wwFlow,,Spot check flow,single,,,311.2,m3/h,,
SM_AM54_F_Spot,AM,PM580,McKay-GLIER,2021-03-22 06:00:00,wwFlow,,Spot check flow,single,,,280.2,m3/h,,
SM_AM55_F_Spot,AM,PM587,McKay-GLIER,2021-03-24 06:00:00,wwFlow,,Spot check flow,single,,,240.2,m3/h,,
SM_AM59_F_Spot,AM,PM661,McKay-GLIER,2021-04-12 06:00:00,wwFlow,,Spot check flow,single,,,458.9,m3/h,,
SM_AM59_F_Spot,AM,PM646,McKay-GLIER,2021-04-07 06:00:00,wwFlow,,Spot check flow,single,,,283.5,m3/h,,
SM_AM60_F_Spot,AM,PM673,McKay-GLIER,2021-04-14 06:00:00,wwFlow,,Spot check flow,single,,,338.3,m3/h,,
SM_AM61_F_Spot,AM,PM690,McKay-GLIER,2021-04-19 06:00:00,wwFlow,,Spot check flow,single,,,316.2,m3/h,,
SM_AM62_F_Spot,AM,PM697,McKay-GLIER,2021-04-21 06:00:00,wwFlow,,Spot check flow,single,,,329.0,m3/h,,
SM_AM63_F_Spot,AM,PM714,McKay-GLIER,2021-04-26 06:00:00,wwFlow,,Spot check flow,single,,,276.6,m3/h,,
SM_AM64_F_Spot,AM,PM720,McKay-GLIER,2021-04-28 06:00:00,wwFlow,,Spot check flow,single,,,274.4,m3/h,,
SM_AM65_F_Spot,AM,PM738,McKay-GLIER,2021-05-03 06:00:00,wwFlow,,Spot check flow,single,,,296.8,m3/h,,
SM_AM66_F_Spot,AM,PM743,McKay-GLIER,2021-05-05 06:00:00,wwFlow,,Spot check flow,single,,,346.1,m3/h,,
SM_AM67_F_Spot,AM,PM762,McKay-GLIER,2021-05-10 06:00:00,wwFlow,,Spot check flow,single,,,401.7,m3/h,,
SM_AM68_F_Spot,AM,PM769,McKay-GLIER,2021-05-12 06:00:00,wwFlow,,Spot check flow,single,,,280.3,m3/h,,
SM_AM69_F_Spot,AM,PM788,McKay-GLIER,2021-05-17 06:00:00,wwFlow,,Spot check flow,single,,,256.5,m3/h,,
SM_AM70_F_Spot,AM,PM794,McKay-GLIER,2021-05-19 06:00:00,wwFlow,,Spot check flow,single,,,260.2,m3/h,,
SM_GREEN2061_F,GREEN,PM373,McKay-GLIER,2021-01-24 01:40:00,wwFlow,,Measured daily average flow,mean,,,85.9,m3/h,,
SM_GREEN2111_F,GREEN,PM494,McKay-GLIER,2021-02-28 09:00:00,wwFlow,,Measured daily average flow,mean,,,125.0,m3/h,,
SM_SOO04_Ophos,SOO,PM505,McKay-GLIER,2021-03-01 09:15:00,wwOPhos,,Laboratory analysis,max,,,1.85,mg/L,,
SM_LRWRP40_F,LRWRP,PM244,McKay-GLIER,2021-01-04 06:30:00,wwFlow,,Measured daily average flow,mean,,,134.0,ML/D,,
SM_LRWRP41_F,LRWRP,PM250,McKay-GLIER,2021-01-04 06:30:00,wwFlow,,Measured daily average flow,mean,,,120.0,ML/D,,
