uSiteMeasureID,siteID,sampleID,reporterID,dateTime,type,typeOther,typeDescription,aggregation,aggregationOther,aggregationDesc,value,unit,notes,Unnamed: 14
SM_LPCC146_F,LPCC,PV77,McKay-GLIER,2021-11-29 07:00:00,wwFlow,,Measured daily average flow,mean,,,205.0,L/s,,
SM_LPCC146_T,LPCC,PV77,McKay-GLIER,2021-11-29 07:00:00,wwTemp,,Field hand-held temperature probe,max,,,15.7,oC,,
SM_LPCC146_pH,LPCC,PV77,McKay-GLIER,2021-11-29 07:00:00,wwpH,,Field hand-held probe,max,,,7.98,,,
SM_LA84_F,LA,PV86,McKay-GLIER,2021-11-29 08:00:00,wwFlow,,Measured daily average flow,mean,,,172.88,L/s,,
SM_LA84_T,LA,PV86,McKay-GLIER,2021-11-29 08:00:00,wwTemp,,Field hand-held temperature probe,max,,,18.8,oC,,
SM_LA84_pH,LA,PV86,McKay-GLIER,2021-11-29 08:00:00,wwpH,,Field hand-held probe,max,,,7.59,,,
SM_AM121_F,AM,PV92,McKay-GLIER,2021-12-01 06:30:00,wwFlow,,Measured daily average flow,mean,,,12025.0,m3/d,,
SM_AM121_T,AM,PV92,McKay-GLIER,2021-12-01 06:30:00,wwTemp,,Field hand-held temperature probe,max,,,6.8,oC,,
SM_AM121_pH,AM,PV92,McKay-GLIER,2021-12-01 06:30:00,wwpH,,Field hand-held probe,max,,,7.73,,,
SM_AM121_F_Spot,AM,PV92,McKay-GLIER,2021-12-01 06:30:00,wwFlow,,Field hand-held probe,max,,,472.0,m3/h,,
SM_TB74_F,TB,PV93,McKay-GLIER,2021-11-29 09:10:00,wwFlow,,Measured daily average flow,mean,,,64.77,ML/D,,
SM_TB74_T,TB,PV93,McKay-GLIER,2021-11-29 09:10:00,wwTemp,,Field hand-held temperature probe,max,,,6.2,oC,,
SM_TB74_pH,TB,PV93,McKay-GLIER,2021-11-29 09:10:00,wwpH,,Field hand-held probe,max,,,7.44,,,
SM_TB74_TSS,TB,PV93,McKay-GLIER,2021-11-29 09:10:00,wwTSS,,Laboratory analysis,max,,,143.8,mg/L,,
SM_CHWW56_F,CHWW,PV94,McKay-GLIER,2021-11-29 00:00:00,wwFlow,,Measured daily average flow,mean,,,28.09,ML/D,,
