sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
C04.13.12.22,Courtice,rawWW,cpTP24h,,2022-12-12,2022-12-13,0.5,8.0,Yes,Samples shipped on ice from site to lab by courier
D05.13.12.22,Darlington,rawWW,cpTP24h,,2022-12-12,2022-12-13,0.5,8.0,Yes,Samples shipped on ice from site to lab by courier
E06.13.12.22,Newcastle,rawWW,cpTP24h,,2022-12-12,2022-12-13,0.5,8.0,Yes,Samples shipped on ice from site to lab by courier
F07.13.12.22,Ajax,rawWW,cpTP24h,,2022-12-12,2022-12-13,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
G08.13.12.22,Pickering,rawWW,cpTP24h,,2022-12-12,2022-12-13,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
S1.13.12.22,Barrie,rawWW,cpTP24h,,2022-12-12,2022-12-13,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
S2.13.12.22,Collingwood,rawWW,cpTP24h,,2022-12-12,2022-12-13,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
S3.13.12.22,Midland,rawWW,cpTP24h,,2022-12-12,2022-12-13,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
S4.13.12.22,Orillia,rawWW,cpTP24h,,2022-12-12,2022-12-13,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
S5.13.12.22,Bracebridge,rawWW,cpTP24h,,2022-12-12,2022-12-13,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
A02.15.12.22,Corbett,rawWW,cpTP24h,,2022-12-14,2022-12-15,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
B03.15.12.22,Harmony,rawWW,cpTP24h,,2022-12-14,2022-12-15,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
C04.15.12.22,Courtice,rawWW,cpTP24h,,2022-12-14,2022-12-15,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
D05.15.12.22,Darlington,rawWW,cpTP24h,,2022-12-14,2022-12-15,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
E06.15.12.22,Newcastle,rawWW,cpTP24h,,2022-12-14,2022-12-15,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
F07.15.12.22,Ajax,rawWW,cpTP24h,,2022-12-14,2022-12-15,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
G08.15.12.22,Pickering,rawWW,cpTP24h,,2022-12-14,2022-12-15,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
S1.15.12.22,Barrie,rawWW,cpTP24h,,2022-12-14,2022-12-15,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
S2.14.12.22,Collingwood,rawWW,cpTP24h,,2022-12-13,2022-12-14,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
S3.15.12.22,Midland,rawWW,cpTP24h,,2022-12-14,2022-12-15,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
S4.15.12.22,Orillia,rawWW,cpTP24h,,2022-12-14,2022-12-15,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
S5.12.12.22,Bracebridge,rawWW,cpTP24h,,2022-12-11,2022-12-12,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
S6.11.12.22,Penetanguishene,rawWW,cpTP24h,,2022-12-10,2022-12-11,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
S6.14.12.22,Penetanguishene,rawWW,cpTP24h,,2022-12-13,2022-12-14,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
A02.18.12.22,Corbett,rawWW,cpTP24h,,2022-12-17,2022-12-18,0.5,7.0,Yes,Samples shipped on ice from site to lab by courier
B03.18.12.22,Harmony,rawWW,cpTP24h,,2022-12-17,2022-12-18,0.5,7.0,Yes,Samples shipped on ice from site to lab by courier
