uWwMeasureID,sampleID,labID,assayMethodID,instrumentID,reporterID,analysisDate,reportDate,fractionAnalyzed,type,typeOther,unit,unitOther,index,value,qualityFlag,CF,ESV,notes
25_MSTP_001_nPMMoV_4_2_2021-09-03,MSTP_001,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,nPMMoV,,gcMl,,4_2,1403.401223081362,,114.28571428571428,2.2857142857142856,
26_MSTP_002_covN1_5_1_2021-09-03,MSTP_002,MacRSJH,N1,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,covN1,,gcMl,,5_1,0.23889416503154653,,114.28571428571428,2.2857142857142856,
27_MSTP_002_covN1_5_2_2021-09-03,MSTP_002,MacRSJH,N1,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,covN1,,gcMl,,5_2,0.0,,114.28571428571428,2.2857142857142856,
28_MSTP_002_covE_5_1_2021-09-03,MSTP_002,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,covE,,gcMl,,5_1,0.0,,114.28571428571428,2.2857142857142856,
29_MSTP_002_covE_5_2_2021-09-03,MSTP_002,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,covE,,gcMl,,5_2,0.7282606793581788,,114.28571428571428,2.2857142857142856,
30_MSTP_002_nPMMoV_5_1_2021-09-03,MSTP_002,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,nPMMoV,,gcMl,,5_1,1647.3849534657159,,114.28571428571428,2.2857142857142856,
31_MSTP_002_nPMMoV_5_2_2021-09-03,MSTP_002,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,nPMMoV,,gcMl,,5_2,1536.1132442683388,,114.28571428571428,2.2857142857142856,
32_SWP_001_covN1_6_1_2021-09-03,SWP_001,MacRSJH,N1,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,covN1,,gcMl,,6_1,0.0,,114.28571428571428,2.2857142857142856,
33_SWP_001_covN1_6_2_2021-09-03,SWP_001,MacRSJH,N1,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,covN1,,gcMl,,6_2,0.0,,114.28571428571428,2.2857142857142856,
34_SWP_001_covE_6_1_2021-09-03,SWP_001,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,covE,,gcMl,,6_1,0.3799559116277322,,114.28571428571428,2.2857142857142856,
35_SWP_001_covE_6_2_2021-09-03,SWP_001,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,covE,,gcMl,,6_2,0.45484477598500944,,114.28571428571428,2.2857142857142856,
36_SWP_001_nPMMoV_6_1_2021-09-03,SWP_001,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,nPMMoV,,gcMl,,6_1,2016.457327942221,,114.28571428571428,2.2857142857142856,
37_SWP_001_nPMMoV_6_2_2021-09-03,SWP_001,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,nPMMoV,,gcMl,,6_2,1848.3487623168535,,114.28571428571428,2.2857142857142856,
38_SWP_002_covN1_7_1_2021-09-03,SWP_002,MacRSJH,N1,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,covN1,,gcMl,,7_1,0.47915337318819257,,114.28571428571428,2.2857142857142856,
39_SWP_002_covN1_7_2_2021-09-03,SWP_002,MacRSJH,N1,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,covN1,,gcMl,,7_2,0.25179605089846074,,114.28571428571428,2.2857142857142856,
40_SWP_002_covE_7_1_2021-09-03,SWP_002,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,covE,,gcMl,,7_1,0.7416755599045495,,114.28571428571428,2.2857142857142856,
41_SWP_002_covE_7_2_2021-09-03,SWP_002,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,covE,,gcMl,,7_2,1.4375494217469307,,114.28571428571428,2.2857142857142856,
42_SWP_002_nPMMoV_7_1_2021-09-03,SWP_002,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,nPMMoV,,gcMl,,7_1,1802.333362455566,,114.28571428571428,2.2857142857142856,
43_SWP_002_nPMMoV_7_2_2021-09-03,SWP_002,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-09-03,2021-09-08,solid,nPMMoV,,gcMl,,7_2,1740.2797052484245,,114.28571428571428,2.2857142857142856,
44_SWP_010_covN1_8_1_2021-09-28,SWP_010,MacRSJH,N1,Bio-Rad CFX96,DB,2021-09-28,2021-10-20,solid,covN1,,gcMl,,8_1,0.508776454008852,,114.28571428571428,2.2857142857142856,
45_SWP_010_covN1_8_2_2021-09-28,SWP_010,MacRSJH,N1,Bio-Rad CFX96,DB,2021-09-28,2021-10-20,solid,covN1,,gcMl,,8_2,0.7336233422032988,,114.28571428571428,2.2857142857142856,
46_SWP_010_covE_8_1_2021-09-28,SWP_010,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-09-28,2021-10-20,solid,covE,,gcMl,,8_1,0.8138565585609638,,114.28571428571428,2.2857142857142856,
47_SWP_010_covE_8_2_2021-09-28,SWP_010,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-09-28,2021-10-20,solid,covE,,gcMl,,8_2,0.0,,114.28571428571428,2.2857142857142856,
48_SWP_010_other_8_1_2021-09-28,SWP_010,MacRSJH,MS2,Bio-Rad CFX96,DB,2021-09-28,2021-10-20,solid,other,,gcMl,,8_1,2.44663965398104,,114.28571428571428,2.2857142857142856,
49_SWP_010_other_8_2_2021-09-28,SWP_010,MacRSJH,MS2,Bio-Rad CFX96,DB,2021-09-28,2021-10-20,solid,other,,gcMl,,8_2,2.1816531692033707,,114.28571428571428,2.2857142857142856,
50_SWP_010_nPMMoV_8_1_2021-09-28,SWP_010,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-09-28,2021-10-20,solid,nPMMoV,,gcMl,,8_1,1403.644846705299,,114.28571428571428,2.2857142857142856,
51_SWP_010_nPMMoV_8_2_2021-09-28,SWP_010,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-09-28,2021-10-20,solid,nPMMoV,,gcMl,,8_2,1307.9012022390477,,114.28571428571428,2.2857142857142856,
52_SWP_011_covN1_9_1_2021-09-28,SWP_011,MacRSJH,N1,Bio-Rad CFX96,DB,2021-09-28,2021-10-20,solid,covN1,,gcMl,,9_1,0.0,,114.28571428571428,2.2857142857142856,
53_SWP_011_covN1_9_2_2021-09-28,SWP_011,MacRSJH,N1,Bio-Rad CFX96,DB,2021-09-28,2021-10-20,solid,covN1,,gcMl,,9_2,0.0,,114.28571428571428,2.2857142857142856,
54_SWP_011_covE_9_1_2021-09-28,SWP_011,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-09-28,2021-10-20,solid,covE,,gcMl,,9_1,0.8100794980232895,,114.28571428571428,2.2857142857142856,
55_SWP_011_covE_9_2_2021-09-28,SWP_011,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-09-28,2021-10-20,solid,covE,,gcMl,,9_2,0.0,,114.28571428571428,2.2857142857142856,
56_SWP_011_other_9_1_2021-09-28,SWP_011,MacRSJH,MS2,Bio-Rad CFX96,DB,2021-09-28,2021-10-20,solid,other,,gcMl,,9_1,0.9509412500000001,,114.28571428571428,2.2857142857142856,
57_SWP_011_other_9_2_2021-09-28,SWP_011,MacRSJH,MS2,Bio-Rad CFX96,DB,2021-09-28,2021-10-20,solid,other,,gcMl,,9_2,0.74795875,,114.28571428571428,2.2857142857142856,
58_SWP_011_nPMMoV_9_1_2021-09-28,SWP_011,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-09-28,2021-10-20,solid,nPMMoV,,gcMl,,9_1,399.4817472124352,,114.28571428571428,2.2857142857142856,
59_SWP_011_nPMMoV_9_2_2021-09-28,SWP_011,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-09-28,2021-10-20,solid,nPMMoV,,gcMl,,9_2,371.9137480212381,,114.28571428571428,2.2857142857142856,
60_GWP_005_covN1_10_1_2021-10-01,GWP_005,MacRSJH,N1,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,covN1,,gcMl,,10_1,0.0,,114.28571428571428,2.2857142857142856,
61_GWP_005_covN1_10_2_2021-10-01,GWP_005,MacRSJH,N1,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,covN1,,gcMl,,10_2,0.0,,114.28571428571428,2.2857142857142856,
62_GWP_005_covE_10_1_2021-10-01,GWP_005,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,covE,,gcMl,,10_1,0.4249682951468977,,114.28571428571428,2.2857142857142856,
63_GWP_005_covE_10_2_2021-10-01,GWP_005,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,covE,,gcMl,,10_2,0.0,,114.28571428571428,2.2857142857142856,
64_GWP_005_other_10_1_2021-10-01,GWP_005,MacRSJH,MS2,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,other,,gcMl,,10_1,0.7689294833416088,,114.28571428571428,2.2857142857142856,
65_GWP_005_other_10_2_2021-10-01,GWP_005,MacRSJH,MS2,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,other,,gcMl,,10_2,1.0625893344807127,,114.28571428571428,2.2857142857142856,
66_GWP_005_nPMMoV_10_1_2021-10-01,GWP_005,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,nPMMoV,,gcMl,,10_1,311.0757707457011,,114.28571428571428,2.2857142857142856,
67_GWP_005_nPMMoV_10_2_2021-10-01,GWP_005,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,nPMMoV,,gcMl,,10_2,385.02344300677123,,114.28571428571428,2.2857142857142856,
68_KLW_009_covN1_11_1_2021-10-01,KLW_009,MacRSJH,N1,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,covN1,,gcMl,,11_1,0.0,,114.28571428571428,2.2857142857142856,
69_KLW_009_covN1_11_2_2021-10-01,KLW_009,MacRSJH,N1,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,covN1,,gcMl,,11_2,0.0,,114.28571428571428,2.2857142857142856,
70_KLW_009_covE_11_1_2021-10-01,KLW_009,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,covE,,gcMl,,11_1,0.0,,114.28571428571428,2.2857142857142856,
71_KLW_009_covE_11_2_2021-10-01,KLW_009,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,covE,,gcMl,,11_2,0.0,,114.28571428571428,2.2857142857142856,
72_KLW_009_other_11_1_2021-10-01,KLW_009,MacRSJH,MS2,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,other,,gcMl,,11_1,3.339203896724247,,114.28571428571428,2.2857142857142856,
73_KLW_009_other_11_2_2021-10-01,KLW_009,MacRSJH,MS2,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,other,,gcMl,,11_2,4.8826219891452505,,114.28571428571428,2.2857142857142856,
74_KLW_009_nPMMoV_11_1_2021-10-01,KLW_009,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,nPMMoV,,gcMl,,11_1,1549.5215382651945,,114.28571428571428,2.2857142857142856,
75_KLW_009_nPMMoV_11_2_2021-10-01,KLW_009,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,nPMMoV,,gcMl,,11_2,1408.015050768174,,114.28571428571428,2.2857142857142856,
76_MSTP_009_covN1_12_1_2021-10-01,MSTP_009,MacRSJH,N1,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,covN1,,gcMl,,12_1,1.4649815522459952,,114.28571428571428,2.2857142857142856,
77_MSTP_009_covN1_12_2_2021-10-01,MSTP_009,MacRSJH,N1,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,covN1,,gcMl,,12_2,0.7282407326682732,,114.28571428571428,2.2857142857142856,
78_MSTP_009_covE_12_1_2021-10-01,MSTP_009,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,covE,,gcMl,,12_1,0.507410816595152,,114.28571428571428,2.2857142857142856,
79_MSTP_009_covE_12_2_2021-10-01,MSTP_009,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,covE,,gcMl,,12_2,1.121396070626055,,114.28571428571428,2.2857142857142856,
80_MSTP_009_other_12_1_2021-10-01,MSTP_009,MacRSJH,MS2,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,other,,gcMl,,12_1,1.3068582824298751,,114.28571428571428,2.2857142857142856,
81_MSTP_009_other_12_2_2021-10-01,MSTP_009,MacRSJH,MS2,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,other,,gcMl,,12_2,1.87656644997472,,114.28571428571428,2.2857142857142856,
82_MSTP_009_nPMMoV_12_1_2021-10-01,MSTP_009,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,nPMMoV,,gcMl,,12_1,1767.0204472816965,,114.28571428571428,2.2857142857142856,
83_MSTP_009_nPMMoV_12_2_2021-10-01,MSTP_009,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,nPMMoV,,gcMl,,12_2,1596.5280281511314,,114.28571428571428,2.2857142857142856,
84_SWP_012_covN1_13_1_2021-10-01,SWP_012,MacRSJH,N1,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,covN1,,gcMl,,13_1,0.0,,114.28571428571428,2.2857142857142856,
85_SWP_012_covN1_13_2_2021-10-01,SWP_012,MacRSJH,N1,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,covN1,,gcMl,,13_2,0.0,,114.28571428571428,2.2857142857142856,
86_SWP_012_covE_13_1_2021-10-01,SWP_012,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,covE,,gcMl,,13_1,0.0,,114.28571428571428,2.2857142857142856,
87_SWP_012_covE_13_2_2021-10-01,SWP_012,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,covE,,gcMl,,13_2,0.0,,114.28571428571428,2.2857142857142856,
88_SWP_012_other_13_1_2021-10-01,SWP_012,MacRSJH,MS2,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,other,,gcMl,,13_1,1.5042277521290863,,114.28571428571428,2.2857142857142856,
89_SWP_012_other_13_2_2021-10-01,SWP_012,MacRSJH,MS2,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,other,,gcMl,,13_2,1.9438009983732858,,114.28571428571428,2.2857142857142856,
90_SWP_012_nPMMoV_13_1_2021-10-01,SWP_012,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,nPMMoV,,gcMl,,13_1,454.186292985867,,114.28571428571428,2.2857142857142856,
91_SWP_012_nPMMoV_13_2_2021-10-01,SWP_012,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,nPMMoV,,gcMl,,13_2,588.924098290452,,114.28571428571428,2.2857142857142856,
92_SWP_013_covN1_14_1_2021-10-01,SWP_013,MacRSJH,N1,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,covN1,,gcMl,,14_1,0.0,,114.28571428571428,2.2857142857142856,
93_SWP_013_covN1_14_2_2021-10-01,SWP_013,MacRSJH,N1,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,covN1,,gcMl,,14_2,0.28091988536335943,,114.28571428571428,2.2857142857142856,
94_SWP_013_covE_14_1_2021-10-01,SWP_013,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,covE,,gcMl,,14_1,0.0,,114.28571428571428,2.2857142857142856,
95_SWP_013_covE_14_2_2021-10-01,SWP_013,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,covE,,gcMl,,14_2,0.0,,114.28571428571428,2.2857142857142856,
96_SWP_013_other_14_1_2021-10-01,SWP_013,MacRSJH,MS2,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,other,,gcMl,,14_1,2.0349441658154617,,114.28571428571428,2.2857142857142856,
97_SWP_013_other_14_2_2021-10-01,SWP_013,MacRSJH,MS2,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,other,,gcMl,,14_2,3.232991100103516,,114.28571428571428,2.2857142857142856,
