sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
GWP_178,GWP,rawWW,cpTP24h,,2022-11-27 09:00:00,2022-11-28 09:00:00.000,2.4,,yes,
GWP_177,GWP,rawWW,cpTP24h,,2022-11-24 07:00:00,2022-11-25 07:00:00.000,2.4,,yes,
KLW_168,KLW,rawWW,cpTP24h,,2022-11-24 08:36:00,2022-11-25 08:36:00.000,4.0,12.5,yes,
BFW_178,BFW,rawWW,cpTP24h,,2022-11-24 09:00:00,2022-11-25 09:00:00.000,9.6,14.7,yes,
BFW_179,BFW,rawWW,cpTP24h,,2022-11-27 09:00:00,2022-11-28 09:00:00.000,9.6,14.7,yes,
OWSD_148,OWSD,rawWW,cpTP24h,,2022-11-27 07:00:00,2022-11-28 07:00:00.000,12.0,13.5,yes,
CWP_161,CWP,rawWW,cpTP24h,,2022-11-24 07:05:00,2022-11-25 07:05:00.000,2.4,14.9,yes,
CWP_162,CWP,rawWW,cpTP24h,,2022-11-27 07:00:00,2022-11-28 07:05:00.000,2.4,10.6,yes,
CBW_168,CBW,rawWW,cpTP24h,,2022-11-24 07:30:00,2022-11-27 07:30:00.000,9.5,,yes,
CBW_169,CBW,rawWW,cpTP24h,,2022-11-27 07:00:00,2022-11-28 07:00:00.000,9.5,5.1,yes,
STW_177,STW,rawWW,cpTP24h,,2022-11-24 08:00:00,2022-11-25 08:00:00.000,16.0,,yes,
SWP_193,SWP,rawWW,cpTP24h,,2022-11-24 07:00:00,2022-11-25 07:00:00.000,8.0,7.5,yes,
SWP_194,SWP,rawWW,cpTP24h,,2022-11-27 07:00:00,2022-11-28 07:00:00.000,8.0,7.0,yes,
MUC3_154,MUC3,rawWW,cpTP24h,,2022-11-29 06:00:00,2022-11-30 06:00:00.000,0.72,,yes,
GSM_001,GSM,rawWW,grb,2022-12-01 09:45:00,,,,,yes,
BFW_180,BFW,rawWW,cpTP24h,,2022-11-29 09:00:00,2022-11-30 09:00:00.000,9.6,14.6,yes,
CBW_170,CBW,rawWW,cpTP24h,,2022-11-29 07:30:00,2022-11-30 07:25:00.000,9.5,5.1,yes,
CWP_163,CWP,rawWW,cpTP24h,,2022-11-29 07:05:00,2022-11-30 07:10:00.000,8.41,,yes,
GWP_179,GWP,rawWW,cpTP24h,,2022-11-29 07:00:00,2022-11-30 07:00:00.000,2.4,,yes,
STW_178,STW,rawWW,cpTP24h,,2022-11-28 08:55:00,2022-11-29 08:35:00.000,16.0,,yes,
STW_179,STW,rawWW,cpTP24h,,2022-11-29 09:00:00,2022-11-30 09:00:00.000,16.0,,yes,
SWP_195,SWP,rawWW,cpTP24h,,2022-11-29 08:00:00,2022-11-30 08:00:00.000,8.0,8.6,yes,
MSTP_083,MSTP,rawWW,cpTP24h,,2022-11-28 09:00:00,2022-11-29 09:00:00.000,,,yes,
MSTP_084,MSTP,rawWW,cpTP24h,,2022-11-29 09:00:00,2022-11-30 09:00:00.000,,,yes,
MUC1_147,MUC1,rawWW,grb,2022-11-30 07:10:00,,,,,yes,
