instrumentID,name,model,description,referenceLink,type,typeOther
BioRadCFX-Connect_Delatolla,CFX Connect,1855201,Lab Measure of Gene Counts using PCR,Link to instrument specifications,lab,
QuantStudio 3,ThermoFisher QuantStudio 3,A28566,Lab Measure of Gene Counts using PCR,Link to instrument specifications,lab,
