sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes
O_0170,Ottawa WWTP,pSludge,cpTP24h,2021-02-12 00:00:00,2021-02-11 00:00:00,2021-02-12 00:00:00,0.5,,Yes,,,
O_0171,Ottawa WWTP,pSludge,cpTP24h,2021-02-13 00:00:00,2021-02-12 00:00:00,2021-02-13 00:00:00,0.5,,Yes,,,
O_0172,Ottawa WWTP,pSludge,cpTP24h,2021-02-14 00:00:00,2021-02-13 00:00:00,2021-02-14 00:00:00,0.5,,Yes,,,
O_0173,Ottawa WWTP,pSludge,cpTP24h,2021-02-15 00:00:00,2021-02-14 00:00:00,2021-02-15 00:00:00,0.5,,Yes,,,
O_0174,Ottawa WWTP,pSludge,cpTP24h,2021-02-16 00:00:00,2021-02-15 00:00:00,2021-02-16 00:00:00,0.5,,Yes,,,
O_0175,Ottawa WWTP,pSludge,cpTP24h,2021-02-17 00:00:00,2021-02-16 00:00:00,2021-02-17 00:00:00,0.5,,Yes,,,
O_0176,Ottawa WWTP,pSludge,cpTP24h,2021-02-18 00:00:00,2021-02-17 00:00:00,2021-02-18 00:00:00,0.5,,Yes,,,
O_0177,Ottawa WWTP,pSludge,cpTP24h,2021-02-19 00:00:00,2021-02-18 00:00:00,2021-02-19 00:00:00,0.5,,Yes,,,
O_0178,Ottawa WWTP,pSludge,cpTP24h,2021-02-20 00:00:00,2021-02-19 00:00:00,2021-02-20 00:00:00,0.5,,Yes,,,
O_0179,Ottawa WWTP,pSludge,cpTP24h,2021-02-21 00:00:00,2021-02-20 00:00:00,2021-02-21 00:00:00,0.5,,Yes,,,
O_0180,Ottawa WWTP,pSludge,cpTP24h,2021-02-22 00:00:00,2021-02-21 00:00:00,2021-02-22 00:00:00,0.5,,Yes,,,
O_0181,Ottawa WWTP,pSludge,cpTP24h,2021-02-23 00:00:00,2021-02-22 00:00:00,2021-02-23 00:00:00,0.5,,Yes,,,
O_0182,Ottawa WWTP,pSludge,cpTP24h,2021-02-24 00:00:00,2021-02-23 00:00:00,2021-02-24 00:00:00,0.5,,Yes,,,
O_0183,Ottawa WWTP,pSludge,cpTP24h,2021-02-26 00:00:00,2021-02-25 00:00:00,2021-02-26 00:00:00,0.5,,Yes,,,
O_0184,Ottawa WWTP,pSludge,cpTP24h,2021-02-27 00:00:00,2021-02-26 00:00:00,2021-02-27 00:00:00,0.5,,Yes,,,
O_0185,Ottawa WWTP,pSludge,cpTP24h,2021-02-28 00:00:00,2021-02-27 00:00:00,2021-02-28 00:00:00,0.5,,Yes,,,
O_0186,Ottawa WWTP,pSludge,cpTP24h,2021-03-01 00:00:00,2021-02-28 00:00:00,2021-03-01 00:00:00,0.5,,Yes,,,
O_0187,Ottawa WWTP,pSludge,cpTP24h,2021-03-02 00:00:00,2021-03-01 00:00:00,2021-03-02 00:00:00,0.5,,Yes,,,
O_0188,Ottawa WWTP,pSludge,cpTP24h,2021-03-03 00:00:00,2021-03-02 00:00:00,2021-03-03 00:00:00,0.5,,Yes,,,
O_0189,Ottawa WWTP,pSludge,cpTP24h,2021-03-05 00:00:00,2021-03-04 00:00:00,2021-03-05 00:00:00,0.5,,Yes,,,
O_0190,Ottawa WWTP,pSludge,cpTP24h,2021-03-06 00:00:00,2021-03-05 00:00:00,2021-03-06 00:00:00,0.5,,Yes,,,
O_0191,Ottawa WWTP,pSludge,cpTP24h,2021-03-07 00:00:00,2021-03-06 00:00:00,2021-03-07 00:00:00,0.5,,Yes,,,
O_0192,Ottawa WWTP,pSludge,cpTP24h,2021-03-08 00:00:00,2021-03-07 00:00:00,2021-03-08 00:00:00,0.5,,Yes,,,
O_0193,Ottawa WWTP,pSludge,cpTP24h,2021-03-09 00:00:00,2021-03-08 00:00:00,2021-03-09 00:00:00,0.5,,Yes,,,
O_0194,Ottawa WWTP,pSludge,cpTP24h,2021-03-10 00:00:00,2021-03-09 00:00:00,2021-03-10 00:00:00,0.5,,Yes,,,
O_0195,Ottawa WWTP,pSludge,cpTP24h,2021-03-11 00:00:00,2021-03-10 00:00:00,2021-03-11 00:00:00,0.5,,Yes,,,
O_0196,Ottawa WWTP,pSludge,cpTP24h,2021-03-12 00:00:00,2021-03-11 00:00:00,2021-03-12 00:00:00,0.5,,Yes,,,
O_0197,Ottawa WWTP,pSludge,cpTP24h,2021-03-13 00:00:00,2021-03-12 00:00:00,2021-03-13 00:00:00,0.5,,Yes,,,
O_0198,Ottawa WWTP,pSludge,cpTP24h,2021-03-14 00:00:00,2021-03-13 00:00:00,2021-03-14 00:00:00,0.5,,Yes,,,
O_0199,Ottawa WWTP,pSludge,cpTP24h,2021-03-15 00:00:00,2021-03-14 00:00:00,2021-03-15 00:00:00,0.5,,Yes,,,
O_0200,Ottawa WWTP,pSludge,cpTP24h,2021-03-16 00:00:00,2021-03-15 00:00:00,2021-03-16 00:00:00,0.5,,Yes,,,
O_0201,Ottawa WWTP,pSludge,cpTP24h,2021-03-17 00:00:00,2021-03-16 00:00:00,2021-03-17 00:00:00,0.5,,Yes,,,
O_0202,Ottawa WWTP,pSludge,cpTP24h,2021-03-18 00:00:00,2021-03-17 00:00:00,2021-03-18 00:00:00,0.5,,Yes,,,
O_0203,Ottawa WWTP,pSludge,cpTP24h,2021-03-19 00:00:00,2021-03-18 00:00:00,2021-03-19 00:00:00,0.5,,Yes,,,
O_0204,Ottawa WWTP,pSludge,cpTP24h,2021-03-20 00:00:00,2021-03-19 00:00:00,2021-03-20 00:00:00,0.5,,Yes,,,
O_0205,Ottawa WWTP,pSludge,cpTP24h,2021-03-21 00:00:00,2021-03-20 00:00:00,2021-03-21 00:00:00,0.5,,Yes,,,
O_0206,Ottawa WWTP,pSludge,cpTP24h,2021-03-22 00:00:00,2021-03-21 00:00:00,2021-03-22 00:00:00,0.5,,Yes,,,
O_0207,Ottawa WWTP,pSludge,cpTP24h,2021-03-23 00:00:00,2021-03-22 00:00:00,2021-03-23 00:00:00,0.5,,Yes,,,
O_0208,Ottawa WWTP,pSludge,cpTP24h,2021-03-24 00:00:00,2021-03-23 00:00:00,2021-03-24 00:00:00,0.5,,Yes,,,
O_0209,Ottawa WWTP,pSludge,cpTP24h,2021-03-25 00:00:00,2021-03-24 00:00:00,2021-03-25 00:00:00,0.5,,Yes,,,
O_0210,Ottawa WWTP,pSludge,cpTP24h,2021-03-26 00:00:00,2021-03-25 00:00:00,2021-03-26 00:00:00,0.5,,Yes,,,
O_0211,Ottawa WWTP,pSludge,cpTP24h,2021-03-27 00:00:00,2021-03-26 00:00:00,2021-03-27 00:00:00,0.5,,Yes,,,
O_0212,Ottawa WWTP,pSludge,cpTP24h,2021-03-28 00:00:00,2021-03-27 00:00:00,2021-03-28 00:00:00,0.5,,Yes,,,
O_0213,Ottawa WWTP,pSludge,cpTP24h,2021-03-29 00:00:00,2021-03-28 00:00:00,2021-03-29 00:00:00,0.5,,Yes,,,
O_0214,Ottawa WWTP,pSludge,cpTP24h,2021-03-30 00:00:00,2021-03-29 00:00:00,2021-03-30 00:00:00,0.5,,Yes,,,
O_0215,Ottawa WWTP,pSludge,cpTP24h,2021-03-31 00:00:00,2021-03-30 00:00:00,2021-03-31 00:00:00,0.5,,Yes,,,
O_0216,Ottawa WWTP,pSludge,cpTP24h,2021-04-01 00:00:00,2021-03-31 00:00:00,2021-04-01 00:00:00,0.5,,Yes,,,
O_0217,Ottawa WWTP,pSludge,cpTP24h,2021-04-02 00:00:00,2021-04-01 00:00:00,2021-04-02 00:00:00,0.5,,Yes,,,
O_0218,Ottawa WWTP,pSludge,cpTP24h,2021-04-03 00:00:00,2021-04-02 00:00:00,2021-04-03 00:00:00,0.5,,Yes,,,
O_0219,Ottawa WWTP,pSludge,cpTP24h,2021-04-04 00:00:00,2021-04-03 00:00:00,2021-04-04 00:00:00,0.5,,Yes,,,
O_0220,Ottawa WWTP,pSludge,cpTP24h,2021-04-05 00:00:00,2021-04-04 00:00:00,2021-04-05 00:00:00,0.5,,Yes,,,
O_0221,Ottawa WWTP,pSludge,cpTP24h,2021-04-06 00:00:00,2021-04-05 00:00:00,2021-04-06 00:00:00,0.5,,Yes,,,
O_0222,Ottawa WWTP,pSludge,cpTP24h,2021-04-07 00:00:00,2021-04-06 00:00:00,2021-04-07 00:00:00,0.5,,Yes,,,
O_0223,Ottawa WWTP,pSludge,cpTP24h,2021-04-08 00:00:00,2021-04-07 00:00:00,2021-04-08 00:00:00,0.5,,Yes,,,
O_0224,Ottawa WWTP,pSludge,cpTP24h,2021-04-09 00:00:00,2021-04-08 00:00:00,2021-04-09 00:00:00,0.5,,Yes,,,
O_0225,Ottawa WWTP,pSludge,cpTP24h,2021-04-10 00:00:00,2021-04-09 00:00:00,2021-04-10 00:00:00,0.5,,Yes,,,
O_0226,Ottawa WWTP,pSludge,cpTP24h,2021-04-11 00:00:00,2021-04-10 00:00:00,2021-04-11 00:00:00,0.5,,Yes,,,
