uSiteMeasureID,siteID,sampleID,reporterID,dateTime,type,typeOther,typeDescription,aggregation,aggregationOther,aggregationDesc,value,unit,notes
LT210621,LT,LT210621,ARA,2021-06-21 08:00:00,wwFlow,,,,,,2039.0,m3/d,
CW210623,CW,CW210623,ARA,2021-06-23 08:00:00,wwFlow,,,,,,,,No Flow Reported
RV210624,RV,RV210624,ARA,2021-06-24 08:00:00,wwFlow,,,,,,37735.0,m3/d,
CB210624,CB,CB210624,ARA,2021-06-24 08:00:00,wwFlow,,,,,,22313.0,m3/d,
KS210624,KS,KS210624,ARA,2021-06-24 08:00:00,wwFlow,,,,,,,,No Flow Reported
LT210624,LT,LT210624,ARA,2021-06-24 08:00:00,wwFlow,,,,,,2089.0,m3/d,
RV210626,RV,RV210626,ARA,2021-06-26 08:00:00,wwFlow,,,,,,,,
CB210626,CB,CB210626,ARA,2021-06-26 08:00:00,wwFlow,,,,,,,,
RV210628,RV,RV210628,ARA,2021-06-28 08:00:00,wwFlow,,,,,,,,
CB210628,CB,CB210628,ARA,2021-06-28 08:00:00,wwFlow,,,,,,,,
KS210628,KS,KS210628,ARA,2021-06-28 08:00:00,wwFlow,,,,,,,,
LT210628,LT,LT210628,ARA,2021-06-28 08:00:00,wwFlow,,,,,,2048.0,m3/d,
CW210628,CW,CW210628,ARA,2021-06-28 08:00:00,wwFlow,,,,,,,,
LT210629,LT,LT210629,ARA,2021-06-29 08:00:00,wwFlow,,,,,,2019.0,m3/d,
KS210701,KS,KS210701,ARA,2021-07-01 08:00:00,wwFlow,,,,,,,,
RV210703,RV,RV210703,ARA,2021-07-03 08:00:00,wwFlow,,,,,,,,
RV210705,RV,RV210705,ARA,2021-07-05 08:00:00,wwFlow,,,,,,,,
CB210705,CB,CB210705,ARA,2021-07-05 08:00:00,wwFlow,,,,,,,,
KS210705,KS,KS210705,ARA,2021-07-05 08:00:00,wwFlow,,,,,,,,
LT210705,LT,LT210705,ARA,2021-07-05 08:00:00,wwFlow,,,,,,2455.0,m3/d,
CW210706,CW,CW210706,ARA,2021-07-06 08:00:00,wwFlow,,,,,,,,
HB210706,HB,HB210706,ARA,2021-07-06 08:00:00,wwFlow,,,,,,5751.2,m3/d,
CW210707,CW,CW210707,ARA,2021-07-07 08:00:00,wwFlow,,,,,,,,
HB210707,HB,HB210707,ARA,2021-07-07 08:00:00,wwFlow,,,,,,5548.69,m3/d,
RV210708,RV,RV210708,ARA,2021-07-08 08:00:00,wwFlow,,,,,,,,
CB210708,CB,CB210708,ARA,2021-07-08 08:00:00,wwFlow,,,,,,,,
LT210708,LT,LT210708,ARA,2021-07-08 08:00:00,wwFlow,,,,,,3561.0,m3/d,
RV210710,RV,RV210710,ARA,2021-07-10 08:00:00,wwFlow,,,,,,,,
CB210710,CB,CB210710,ARA,2021-07-10 08:00:00,wwFlow,,,,,,,,
RV210712,RV,RV210712,ARA,2021-07-12 08:00:00,wwFlow,,,,,,,,
CB210712,CB,CB210712,ARA,2021-07-12 08:00:00,wwFlow,,,,,,,,
CW210712,CW,CW210712,ARA,2021-07-12 08:00:00,wwFlow,,,,,,,,
LT210712,LT,LT210712,ARA,2021-07-12 08:00:00,wwFlow,,,,,,2533.0,m3/d,
KS210712,KS,KS210712,ARA,2021-07-12 08:00:00,wwFlow,,,,,,,,
CW210713,CW,CW210713,ARA,2021-07-13 08:00:00,wwFlow,,,,,,,,
LT210713,LT,LT210713,ARA,2021-07-13 08:00:00,wwFlow,,,,,,2205.0,m3/d,
HB210713,HB,HB210713,ARA,2021-07-13 08:00:00,wwFlow,,,,,,5448.0,m3/d,
CW210714,CW,CW210714,ARA,2021-07-14 08:00:00,wwFlow,,,,,,,,
RV210715,RV,RV210715,ARA,2021-07-15 08:00:00,wwFlow,,,,,,,,
CB210715,CB,CB210715,ARA,2021-07-15 08:00:00,wwFlow,,,,,,,,
KS210715,KS,KS210715,ARA,2021-07-15 08:00:00,wwFlow,,,,,,,,
LT210715,LT,LT210715,ARA,2021-07-15 08:00:00,wwFlow,,,,,,3179.0,m3/d,
RV210717,RV,RV210717,ARA,2021-07-17 08:00:00,wwFlow,,,,,,,,
CB210717,CB,CB210717,ARA,2021-07-17 08:00:00,wwFlow,,,,,,,,
KS210719,KS,KS210719,ARA,2021-07-19 08:00:00,wwFlow,,,,,,,,
RV210719,RV,RV210719,ARA,2021-07-19 08:00:00,wwFlow,,,,,,50006.0,m3/d,
CB210719,CB,CB210719,ARA,2021-07-19 08:00:00,wwFlow,,,,,,29918.0,m3/d,
CW210719,CW,CW210719,ARA,2021-07-19 08:00:00,wwFlow,,,,,,34067.0,m3/d,
LT210719,LT,LT210719,ARA,2021-07-19 08:00:00,wwFlow,,,,,,2771.0,m3/d,
HB210720,HB,HB210720,ARA,2021-07-20 08:00:00,wwFlow,,,,,,3192.0,m3/d,
CW210720,CW,CW210720,ARA,2021-07-20 08:00:00,wwFlow,,,,,,65926.0,m3/d,
HB210721,HB,HB210721,ARA,2021-07-21 08:00:00,wwFlow,,,,,,7765.0,m3/d,
CW210721,CW,CW210721,ARA,2021-07-21 08:00:00,wwFlow,,,,,,90576.0,m3/d,
RV210722,RV,RV210722,ARA,2021-07-22 08:00:00,wwFlow,,,,,,45171.0,m3/d,
KS210722,KS,KS210722,ARA,2021-07-22 08:00:00,wwFlow,,,,,,,,
HB210722,HB,HB210722,ARA,2021-07-22 08:00:00,wwFlow,,,,,,,,
RV210724,RV,RV210724,ARA,2021-07-24 08:00:00,wwFlow,,,,,,42946.0,m3/d,
CB210724,CB,CB210724,ARA,2021-07-24 08:00:00,wwFlow,,,,,,25582.0,m3/d,
CB210726,CB,CB210726,ARA,2021-07-26 08:00:00,wwFlow,,,,,,25387.0,m3/d,
LT210726,LT,LT210726,ARA,2021-07-26 08:00:00,wwFlow,,,,,,2237.0,m3/d,
RV210726,RV,RV210726,ARA,2021-07-26 08:00:00,wwFlow,,,,,,43569.0,m3/d,
CW210726,CW,CW210726,ARA,2021-07-26 08:00:00,wwFlow,,,,,,67618.0,m3/d,
KS210726,KS,KS210726,ARA,2021-07-26 08:00:00,wwFlow,,,,,,,,
HB210726,HB,HB210726,ARA,2021-07-26 08:00:00,wwFlow,,,,,,,,
CW210727,CW,CW210727,ARA,2021-07-27 08:00:00,wwFlow,,,,,,58307.0,m3/d,
LT210727,LT,LT210727,ARA,2021-07-27 08:00:00,wwFlow,,,,,,2310.0,m3/d,
HB210727,HB,HB210727,ARA,2021-07-27 08:00:00,wwFlow,,,,,,6581.0,m3/d,
CW210728,CW,CW210728,ARA,2021-07-28 08:00:00,wwFlow,,,,,,50068.0,m3/d,
HB210728,HB,HB210728,ARA,2021-07-28 08:00:00,wwFlow,,,,,,6038.0,m3/d,
RV210729,RV,RV210729,ARA,2021-07-29 08:00:00,wwFlow,,,,,,43646.0,m3/d,
KS210729,KS,KS210729,ARA,2021-07-29 08:00:00,wwFlow,,,,,,,,
RV210731,RV,RV210731,ARA,2021-07-31 08:00:00,wwFlow,,,,,,40973.0,m3/d,
CB210731,CB,CB210731,ARA,2021-07-31 08:00:00,wwFlow,,,,,,23030.0,m3/d,
RV210802,RV,RV210802,ARA,2021-08-02 08:00:00,wwFlow,,,,,,41869.0,m3/d,
KS210802,KS,KS210802,ARA,2021-08-02 08:00:00,wwFlow,,,,,,,,
LT210803,LT,LT210803,ARA,2021-08-03 08:00:00,wwFlow,,,,,,2159.0,m3/d,
CW210803,CW,CW210803,ARA,2021-08-03 08:00:00,wwFlow,,,,,,35568.0,m3/d,
HB210803,HB,HB210803,ARA,2021-08-03 08:00:00,wwFlow,,,,,,,,
CW210804,CW,CW210804,ARA,2021-08-04 08:00:00,wwFlow,,,,,,35633.0,m3/d,
HB210804,HB,HB210804,ARA,2021-08-04 08:00:00,wwFlow,,,,,,,,
CW210805,CW,CW210805,ARA,2021-08-05 08:00:00,wwFlow,,,,,,34100.0,m3/d,
HB210805,HB,HB210805,ARA,2021-08-05 08:00:00,wwFlow,,,,,,,m3/d,
RV210805,RV,RV210805,ARA,2021-08-05 08:00:00,wwFlow,,,,,,40247.0,m3/d,
KS210805,KS,KS210805,ARA,2021-08-05 08:00:00,wwFlow,,,,,,,,
CB210807,CB,CB210807,ARA,2021-08-07 08:00:00,wwFlow,,,,,,22567.0,m3/d,
RV210807,RV,RV210807,ARA,2021-08-07 08:00:00,wwFlow,,,,,,40671.0,m3/d,
RV210809,RV,RV210809,ARA,2021-08-09 08:00:00,wwFlow,,,,,,40860.0,m3/d,
KS210809,KS,KS210809,ARA,2021-08-09 08:00:00,wwFlow,,,,,,,,
CB210809,CB,CB210809,ARA,2021-08-09 08:00:00,wwFlow,,,,,,22725.0,m3/d,
LT210809,LT,LT210809,ARA,2021-08-09 08:00:00,wwFlow,,,,,,2063.0,m3/d,
CW210809,CW,CW210809,ARA,2021-08-09 08:00:00,wwFlow,,,,,,46776.0,m3/d,
LT210810,LT,LT210810,ARA,2021-08-10 08:00:00,wwFlow,,,,,,2123.0,m3/d,
CW210810,CW,CW210810,ARA,2021-08-10 08:00:00,wwFlow,,,,,,45649.0,m3/d,
HB210810,HB,HB210810,ARA,2021-08-10 08:00:00,wwFlow,,,,,,5055.0,m3/d,
CW210811,CW,CW210811,ARA,2021-08-11 08:00:00,wwFlow,,,,,,40649.0,m3/d,
HB210811,HB,HB210811,ARA,2021-08-11 08:00:00,wwFlow,,,,,,,,
KS210812,KS,KS210812,ARA,2021-08-12 08:00:00,wwFlow,,,,,,,,
CB210812,CB,CB210812,ARA,2021-08-12 08:00:00,wwFlow,,,,,,27851.0,m3/d,
LT210812,LT,LT210812,ARA,2021-08-12 08:00:00,wwFlow,,,,,,2226.0,m3/d,
CW210812,CW,CW210812,ARA,2021-08-12 08:00:00,wwFlow,,,,,,38245.0,m3/d,
RV210812,RV,RV210812,ARA,2021-08-12 08:00:00,wwFlow,,,,,,46528.0,m3/d,
RV210814,RV,RV210814,ARA,2021-08-14 08:00:00,wwFlow,,,,,,42065.0,m3/d,
RV210816,RV,RV210816,ARA,2021-08-16 08:00:00,wwFlow,,,,,,40825.0,m3/d,
CB210816,CB,CB210816,ARA,2021-08-16 08:00:00,wwFlow,,,,,,23781.0,m3/d,
LT210816,LT,LT210816,ARA,2021-08-16 08:00:00,wwFlow,,,,,,2088.0,m3/d,
CW210816,CW,CW210816,ARA,2021-08-16 08:00:00,wwFlow,,,,,,33430.0,m3/d,
KS210817,KS,KS210817,ARA,2021-08-17 08:00:00,wwFlow,,,,,,,,
CW210817,CW,CW210817,ARA,2021-08-17 08:00:00,wwFlow,,,,,,34496.0,m3/d,
HB210817,HB,HB210817,ARA,2021-08-17 08:00:00,wwFlow,,,,,,5801.0,m3/d,
CW210818,CW,CW210818,ARA,2021-08-18 08:00:00,wwFlow,,,,,,48918.0,m3/d,
HB210818,HB,HB210818,ARA,2021-08-18 08:00:00,wwFlow,,,,,,,,
KS210819,KS,KS210819,ARA,2021-08-19 08:00:00,wwFlow,,,,,,19460.0,,
RV210819,RV,RV210819,ARA,2021-08-19 08:00:00,wwFlow,,,,,,47281.0,m3/d,
LT210819,LT,LT210819,ARA,2021-08-19 08:00:00,wwFlow,,,,,,2150.0,m3/d,
HB210819,HB,HB210819,ARA,2021-08-19 08:00:00,wwFlow,,,,,,2755.0,m3/d,
RV210821,RV,RV210821,ARA,2021-08-21 08:00:00,wwFlow,,,,,,41893.0,m3/d,
CB210821,CB,CB210821,ARA,2021-08-21 08:00:00,wwFlow,,,,,,24585.0,m3/d,
KS210823,KS,KS210823,ARA,2021-08-23 08:00:00,wwFlow,,,,,,,,
RV210823,RV,RV210823,ARA,2021-08-23 08:00:00,wwFlow,,,,,,,,
LT210823,LT,LT210823,ARA,2021-08-23 08:00:00,wwFlow,,,,,,2055.0,m3/d,
CW210823,LT,CW210823,ARA,2021-08-23 08:00:00,wwFlow,,,,,,33974.0,m3/d,
LT210824,LT,LT210824,ARA,2021-08-24 08:00:00,wwFlow,,,,,,1806.0,m3/d,
CW210824,CW,CW210824,ARA,2021-08-24 08:00:00,wwFlow,,,,,,33924.0,m3/d,
HB210824,HB,HB210824,ARA,2021-08-24 08:00:00,wwFlow,,,,,,,,
CW210825,CW,CW210825,ARA,2021-08-25 08:00:00,wwFlow,,,,,,33422.0,m3/d,
HB210825,HB,HB210825,ARA,2021-08-25 08:00:00,wwFlow,,,,,,,,
KS210826,KS,KS210826,ARA,2021-08-26 08:00:00,wwFlow,,,,,,,,
RV210826,RV,RV210826,ARA,2021-08-26 08:00:00,wwFlow,,,,,,40994.0,m3/d,
CB210826,CB,CB210826,ARA,2021-08-26 08:00:00,wwFlow,,,,,,23215.0,m3/d,
LT210826,LT,LT210826,ARA,2021-08-26 08:00:00,wwFlow,,,,,,2069.0,m3/d,
HB210826,HB,HB210826,ARA,2021-08-26 08:00:00,wwFlow,,,,,,5280.0,m3/d,
RV210828,RV,RV210828,ARA,2021-08-28 08:00:00,wwFlow,,,,,,38710.0,m3/d,
CB210828,CB,CB210828,ARA,2021-08-28 08:00:00,wwFlow,,,,,,21929.0,m3/d,
RV210830,RV,RV210830,ARA,2021-08-30 08:00:00,wwFlow,,,,,,40308.0,m3/d,
CB210830,CB ,CB210830,ARA,2021-08-30 08:00:00,wwFlow,,,,,,22071.0,m3/d,
KS210830,KS,KS210830,ARA,2021-08-30 08:00:00,wwFlow,,,,,,,,
LT210830,LT,LT210830,ARA,2021-08-30 08:00:00,wwFlow,,,,,,2040.0,m3/d,
CW210830,CW,CW210830,ARA,2021-08-30 08:00:00,wwFlow,,,,,,62139.0,m3/d,
CW210831,CW,CW210831,ARA,2021-08-31 08:00:00,wwFlow,,,,,,43368.0,m3/d,
HB210831,HB,HB210831,ARA,2021-08-31 08:00:00,wwFlow,,,,,,5221.0,m3/d,
KS210902,KS,KS210902,ARA,2021-09-02 08:00:00,wwFlow,,,,,,16280.0,m3/d,
RV210902,RV,RV210902,ARA,2021-09-02 08:00:00,wwFlow,,,,,,38394.0,m3/d,
CB210902,CB,CB210902,ARA,2021-09-02 08:00:00,wwFlow,,,,,,21332.0,m3/d,
CW210902,CW,CW210902,ARA,2021-09-02 08:00:00,wwFlow,,,,,,37309.0,m3/d,
HB210902,HB,HB210902,ARA,2021-09-02 08:00:00,wwFlow,,,,,,5250.0,m3/d,
