instrumentID,name,model,description,referenceLink,type,typeOther
Quant,QIAquant ,5Plex,Genes Quantification ,https://www.qiagen.com/ca/products/discovery-and-translational-research/pcr-qpcr-dpcr/qpcr-assays-and-instruments/pcr-instruments/qiaquant/?catno=9003010,,
Cube,QIAcube,Connect ,RNA Extraction ,https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/instruments-equipment/qiacube-connect/,,
