sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
CB230327,CB,rawWW,cpTP24h,,2023-03-26 00:00:00,2023-03-27 00:00:00,1,,Yes,
CW230327,CW,rawWW,cpTP24h,,2023-03-26 00:00:00,2023-03-27 00:00:00,1,,Yes,
WB230325,WB,rawWW,cpTP24h,,2023-03-24 00:00:00,2023-03-25 00:00:00,1,,Yes,
WB230327,WB,rawWW,cpTP24h,,2023-03-26 00:00:00,2023-03-27 00:00:00,1,,Yes,
HB230328,HB,rawWW,cpTP24h,,2023-03-27 00:00:00,2023-03-28 00:00:00,1,,Yes,
CW230328,CW,rawWW,cpTP24h,,2023-03-27 00:00:00,2023-03-28 00:00:00,1,,Yes,
MB230327,MB,rawWW,cpTP24h,,2023-03-26 00:00:00,2023-03-27 00:00:00,1,,Yes,
HB230329,HB,rawWW,cpTP24h,,2023-03-28 00:00:00,2023-03-29 00:00:00,1,,Yes,
CM230328,CM,rawWW,cpTP24h,,2023-03-27 00:00:00,2023-03-28 00:00:00,1,,Yes,
CM230329,CM,rawWW,cpTP24h,,2023-03-28 00:00:00,2023-03-29 00:00:00,1,,Yes,
CW230329,CW,rawWW,cpTP24h,,2023-03-28 00:00:00,2023-03-29 00:00:00,1,,Yes,
RV230328,RV,rawWW,cpTP24h,,2023-03-27 00:00:00,2023-03-28 00:00:00,1,,Yes,
RV230329,RV,rawWW,cpTP24h,,2023-03-28 00:00:00,2023-03-29 00:00:00,1,,Yes,
RV230330,RV,rawWW,cpTP24h,,2023-03-29 00:00:00,2023-03-30 00:00:00,1,,Yes,
CB230328,CB,rawWW,cpTP24h,,2023-03-27 00:00:00,2023-03-28 00:00:00,1,,Yes,
CB230329,CB,rawWW,cpTP24h,,2023-03-28 00:00:00,2023-03-29 00:00:00,1,,Yes,
CB230330,CB,rawWW,cpTP24h,,2023-03-29 00:00:00,2023-03-30 00:00:00,1,,Yes,
