sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes
ORANGE313,ORANGE,rawWW,cpTP24h,,2021-03-30 00:00:00,2021-03-31 00:00:00,1.0,,Yes,,,
ORANGE74,ORANGE,rawWW,cpTP24h,,2021-04-06 00:00:00,2021-04-07 00:00:00,1.0,,Yes,,,
ORANGE94,ORANGE,rawWW,cpTP24h,,2021-04-08 00:00:00,2021-04-09 00:00:00,1.0,,Yes,,,
ORANGE124,ORANGE,rawWW,cpTP24h,,2021-04-11 00:00:00,2021-04-12 00:00:00,1.0,,Yes,,,
ORANGE144,ORANGE,rawWW,cpTP24h,,2021-04-13 00:00:00,2021-04-14 00:00:00,1.0,,Yes,,,
ORANGE164,ORANGE,rawWW,cpTP24h,,2021-04-15 00:00:00,2021-04-16 00:00:00,1.0,,Yes,,,
ORANGE194,ORANGE,rawWW,cpTP24h,,2021-04-18 00:00:00,2021-04-19 00:00:00,1.0,,Yes,,,
ORANGE214,ORANGE,rawWW,cpTP24h,,2021-04-20 00:00:00,2021-04-21 00:00:00,1.0,,Yes,,,
ACT131,ACT,rawWW,cpTP24h,,2021-01-12 00:00:00,2021-01-13 00:00:00,1.0,,Yes,,,
GT131,GT,rawWW,cpTP24h,,2021-01-12 00:00:00,2021-01-13 00:00:00,1.0,,Yes,,,
MH131,MH,rawWW,cpTP24h,,2021-01-12 00:00:00,2021-01-13 00:00:00,1.0,,Yes,,,
OSE131,OSE,rawWW,cpTP24h,,2021-01-12 00:00:00,2021-01-13 00:00:00,1.0,,Yes,,,
OSW131,OSW,rawWW,cpTP24h,,2021-01-12 00:00:00,2021-01-13 00:00:00,1.0,,Yes,,,
SKY131,SKY,rawWW,cpTP24h,,2021-01-12 00:00:00,2021-01-13 00:00:00,1.0,,Yes,,,
ACT151,ACT,rawWW,cpTP24h,,2021-01-14 00:00:00,2021-01-15 00:00:00,1.0,,Yes,,,
GT151,GT,rawWW,cpTP24h,,2021-01-14 00:00:00,2021-01-15 00:00:00,1.0,,Yes,,,
MH151,MH,rawWW,cpTP24h,,2021-01-14 00:00:00,2021-01-15 00:00:00,1.0,,Yes,,,
OSE151,OSE,rawWW,cpTP24h,,2021-01-14 00:00:00,2021-01-15 00:00:00,1.0,,Yes,,,
OSW151,OSW,rawWW,cpTP24h,,2021-01-14 00:00:00,2021-01-15 00:00:00,1.0,,Yes,,,
SKY151,SKY,rawWW,cpTP24h,,2021-01-14 00:00:00,2021-01-15 00:00:00,1.0,,Yes,,,
ACT181,ACT,rawWW,cpTP24h,,2021-01-17 00:00:00,2021-01-18 00:00:00,1.0,,Yes,,,
