instrumentID,name,model,description,referenceLink,type,typeOther
RTqPCR,Bio-Rad CFX96,CFX96,qPCR machine ,,,
RTqPCR_QS,Applied Biosystem QuantStudio 5,QuantStudio 5,qPCR machine ,,,
