sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes,sampleDate
fac1a_2021Jul06_c24,fac1a,rawWW,cpTP24h,,2021-07-05 08:30:00,2021-07-06 07:30:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-06
fac1a_2021Jul08_c24,fac1a,rawWW,cpTP24h,,2021-07-07 08:35:00,2021-07-08 07:35:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-08
fac1a_2021Jul13_c24,fac1a,rawWW,cpTP24h,,2021-07-12 08:25:00,2021-07-13 07:25:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-13
fac1a_2021Jul15_c24,fac1a,rawWW,cpTP24h,,2021-07-14 08:20:00,2021-07-15 07:20:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-15
fac1a_2021Jul20_c24,fac1a,rawWW,cpTP24h,,2021-07-19 08:24:00,2021-07-20 07:24:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-20
fac1a_2021Jul22_c24,fac1a,rawWW,cpTP24h,,2021-07-21 08:25:00,2021-07-22 07:25:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-22
fac1a_2021Jul27_c10,fac1a,rawWW,cpTP24h,,2021-07-26 08:30:00,2021-07-27 07:30:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-27
fac1a_2021Jul29_c21,fac1a,rawWW,cpTP24h,,2021-07-28 08:35:00,2021-07-29 07:35:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-29
fac1a_2021Aug04_c24,fac1a,rawWW,cpTP24h,,2021-08-03 08:55:00,2021-08-04 07:55:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-04
fac1a_2021Aug05_c24,fac1a,rawWW,cpTP24h,,2021-08-04 08:40:00,2021-08-05 07:40:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-05
