uSiteMeasureID,siteID,sampleID,reporterID,dateTime,type,typeOther,typeDescription,aggregation,aggregationOther,aggregationDesc,value,unit,notes
fac1a_flow_6,fac1a,fac1a_2021Jun24_c24,Ryerson_Hataley,2021-06-24 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_7,fac1a,fac1a_2021Jun29_c24,Ryerson_Hataley,2021-06-29 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_8,fac1a,fac1a_2021Jun30_c23,Ryerson_Hataley,2021-06-30 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_9,fac1a,fac1a_2021Jul06_c24,Ryerson_Hataley,2021-07-06 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_10,fac1a,fac1a_2021Jul08_c24,Ryerson_Hataley,2021-07-08 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_11,fac1a,fac1a_2021Jul13_c24,Ryerson_Hataley,2021-07-13 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_12,fac1a,fac1a_2021Jul15_c24,Ryerson_Hataley,2021-07-15 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_13,fac1a,fac1a_2021Jul20_c24,Ryerson_Hataley,2021-07-20 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_14,fac1a,fac1a_2021Jul22_c24,Ryerson_Hataley,2021-07-22 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_15,fac1a,fac1a_2021Jul27_c10,Ryerson_Hataley,2021-07-27 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_16,fac1a,fac1a_2021Jul29_c21,Ryerson_Hataley,2021-07-29 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_17,fac1a,fac1a_2021Aug04_c24,Ryerson_Hataley,2021-08-04 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_18,fac1a,fac1a_2021Aug05_c24,Ryerson_Hataley,2021-08-05 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_19,fac1a,fac1a_2021Aug10_c24,Ryerson_Hataley,2021-08-10 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_20,fac1a,fac1a_2021Aug12_c24,Ryerson_Hataley,2021-08-12 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_21,fac1a,fac1a_2021Aug17_c23,Ryerson_Hataley,2021-08-17 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_22,fac1a,fac1a_2021Aug19_c23,Ryerson_Hataley,2021-08-19 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_23,fac1a,fac1a_2021Aug24_c24,Ryerson_Hataley,2021-08-24 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_24,fac1a,fac1a_2021Aug26_c24,Ryerson_Hataley,2021-08-26 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_25,fac1a,fac1a_2021Aug31_c24,Ryerson_Hataley,2021-08-31 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_26,fac1a,fac1a_2021Sep02_c22,Ryerson_Hataley,2021-09-02 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_27,fac1a,fac1a_2021Sep08_c24,Ryerson_Hataley,2021-09-08 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
fac1a_flow_28,fac1a,fac1a_2021Sep09_c24,Ryerson_Hataley,2021-09-09 00:00:00,wwFlow,,Flow data from ultrasonic water level sensor and Manning's equation,mean,,5-minute flow data is averaged over the sample period,0.0,L/s,NA facility site
