uWwMeasureID,sampleID,labID,assayMethodID,instrumentID,reporterID,analysisDate,reportDate,fractionAnalyzed,type,typeOther,unit,unitOther,index,value,qualityFlag,CF,ESV,notes
26_TKAP210720_3_nPMMoV_1_2021-07-22,TKAP210720_3,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,nPMMoV,,gcL,,1,66252982.0362615,,,,
27_TKAP210720_3_nPMMoV_2_2021-07-22,TKAP210720_3,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,nPMMoV,,gcL,,2,77130777.3670667,,,,
28_TKAP210720_3_nPMMoV_3_2021-07-22,TKAP210720_3,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-07-22,2021-07-23,solid,nPMMoV,,gcL,,3,55011741.9339976,,,,
29_TKAP210921_1_covN1_1_2021-09-24,TKAP210921_1,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-09-24,2021-09-24,solid,covN1,,gcL,,1,0.0,ND,207.6923077,1.038461538,
30_TKAP210921_1_covN1_2_2021-09-24,TKAP210921_1,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-09-24,2021-09-24,solid,covN1,,gcL,,2,0.0,ND,207.6923077,1.038461538,
31_TKAP210921_1_covN1_3_2021-09-24,TKAP210921_1,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-09-24,2021-09-24,solid,covN1,,gcL,,3,0.0,ND,207.6923077,1.038461538,
32_TKAP210921_1_covN2_1_2021-09-24,TKAP210921_1,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-09-24,2021-09-24,solid,covN2,,gcL,,1,0.0,ND,207.6923077,2.076923076,
33_TKAP210921_1_covN2_2_2021-09-24,TKAP210921_1,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-09-24,2021-09-24,solid,covN2,,gcL,,2,0.0,ND,207.6923077,2.076923076,
34_TKAP210921_1_covN2_3_2021-09-24,TKAP210921_1,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-09-24,2021-09-24,solid,covN2,,gcL,,3,0.0,ND,207.6923077,2.076923076,
35_TKAP210921_1_nPMMoV_1_2021-09-24,TKAP210921_1,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-09-24,2021-09-24,solid,nPMMoV,,gcL,,1,7445900.69233067,,207.6923077,1.038461538,
36_TKAP210921_1_nPMMoV_2_2021-09-24,TKAP210921_1,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-09-24,2021-09-24,solid,nPMMoV,,gcL,,2,15031274.9115733,,207.6923077,1.038461538,
37_TKAP210921_1_nPMMoV_3_2021-09-24,TKAP210921_1,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2021-09-24,2021-09-24,solid,nPMMoV,,gcL,,3,11031868.6260394,,207.6923077,1.038461538,
38_TPHAIL220829_1_covN1_1_2022-09-02,TPHAIL220829_1,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,covN1,,gcL,,1,0.0,ND,276.9230769,1.384615385,
39_TPHAIL220829_1_covN1_2_2022-09-02,TPHAIL220829_1,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,covN1,,gcL,,2,0.0,ND,276.9230769,1.384615385,
40_TPHAIL220829_1_covN1_3_2022-09-02,TPHAIL220829_1,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,covN1,,gcL,,3,0.0,ND,276.9230769,1.384615385,
41_TPHAIL220829_1_covN2_1_2022-09-02,TPHAIL220829_1,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-02,2022-09-02,solid,covN2,,gcL,,1,0.0,ND,276.9230769,1.384615385,
42_TPHAIL220829_1_covN2_2_2022-09-02,TPHAIL220829_1,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-02,2022-09-02,solid,covN2,,gcL,,2,0.0,ND,276.9230769,1.384615385,
43_TPHAIL220829_1_covN2_3_2022-09-02,TPHAIL220829_1,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-02,2022-09-02,solid,covN2,,gcL,,3,0.0,ND,276.9230769,1.384615385,
44_TPHAIL220829_1_nPMMoV_1_2022-09-02,TPHAIL220829_1,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,nPMMoV,,gcL,,1,4154053.8166274,B,276.9230769,1.384615385,WPB >35Ct
45_TPHAIL220829_1_nPMMoV_2_2022-09-02,TPHAIL220829_1,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,nPMMoV,,gcL,,2,4017197.11528282,B,276.9230769,1.384615385,WPB >35Ct
46_TPHAIL220829_1_nPMMoV_3_2022-09-02,TPHAIL220829_1,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,nPMMoV,,gcL,,3,3688487.86428584,B,276.9230769,1.384615385,WPB >35Ct
47_TPHAIL220829_2_covN1_1_2022-09-02,TPHAIL220829_2,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,covN1,,gcL,,1,0.0,ND,276.9230769,1.384615385,
48_TPHAIL220829_2_covN1_2_2022-09-02,TPHAIL220829_2,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,covN1,,gcL,,2,0.0,ND,276.9230769,1.384615385,
49_TPHAIL220829_2_covN1_3_2022-09-02,TPHAIL220829_2,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,covN1,,gcL,,3,63.48333138,UJ,276.9230769,1.384615385,
50_TPHAIL220829_2_covN2_1_2022-09-02,TPHAIL220829_2,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-02,2022-09-02,solid,covN2,,gcL,,1,0.0,ND,276.9230769,1.384615385,
51_TPHAIL220829_2_covN2_2_2022-09-02,TPHAIL220829_2,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-02,2022-09-02,solid,covN2,,gcL,,2,0.0,ND,276.9230769,1.384615385,
52_TPHAIL220829_2_covN2_3_2022-09-02,TPHAIL220829_2,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-02,2022-09-02,solid,covN2,,gcL,,3,0.0,ND,276.9230769,1.384615385,
53_TPHAIL220829_2_nPMMoV_1_2022-09-02,TPHAIL220829_2,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,nPMMoV,,gcL,,1,4146718.06129756,B,276.9230769,1.384615385,WPB >35Ct
54_TPHAIL220829_2_nPMMoV_2_2022-09-02,TPHAIL220829_2,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,nPMMoV,,gcL,,2,4015477.50422462,B,276.9230769,1.384615385,WPB >35Ct
55_TPHAIL220829_2_nPMMoV_3_2022-09-02,TPHAIL220829_2,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,nPMMoV,,gcL,,3,4827757.92367582,B,276.9230769,1.384615385,WPB >35Ct
56_TPHAIL220831_1_covN1_1_2022-09-02,TPHAIL220831_1,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,covN1,,gcL,,1,0.0,ND,276.9230769,1.384615385,
57_TPHAIL220831_1_covN1_2_2022-09-02,TPHAIL220831_1,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,covN1,,gcL,,2,0.0,ND,276.9230769,1.384615385,
58_TPHAIL220831_1_covN1_3_2022-09-02,TPHAIL220831_1,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,covN1,,gcL,,3,107.75555224,UJ,276.9230769,1.384615385,
59_TPHAIL220831_1_covN2_1_2022-09-02,TPHAIL220831_1,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-02,2022-09-02,solid,covN2,,gcL,,1,0.0,ND,276.9230769,1.384615385,
60_TPHAIL220831_1_covN2_2_2022-09-02,TPHAIL220831_1,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-02,2022-09-02,solid,covN2,,gcL,,2,0.0,ND,276.9230769,1.384615385,
61_TPHAIL220831_1_covN2_3_2022-09-02,TPHAIL220831_1,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-02,2022-09-02,solid,covN2,,gcL,,3,0.0,ND,276.9230769,1.384615385,
62_TPHAIL220831_1_nPMMoV_1_2022-09-02,TPHAIL220831_1,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,nPMMoV,,gcL,,1,6106084.6454538,B,276.9230769,1.384615385,WPB >35Ct
63_TPHAIL220831_1_nPMMoV_2_2022-09-02,TPHAIL220831_1,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,nPMMoV,,gcL,,2,5990813.43233394,B,276.9230769,1.384615385,WPB >35Ct
64_TPHAIL220831_1_nPMMoV_3_2022-09-02,TPHAIL220831_1,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,nPMMoV,,gcL,,3,6265060.12389558,B,276.9230769,1.384615385,WPB >35Ct
65_TPHAIL220831_2_covN1_1_2022-09-02,TPHAIL220831_2,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,covN1,,gcL,,1,0.0,ND,276.9230769,1.384615385,
66_TPHAIL220831_2_covN1_2_2022-09-02,TPHAIL220831_2,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,covN1,,gcL,,2,0.0,ND,276.9230769,1.384615385,
67_TPHAIL220831_2_covN1_3_2022-09-02,TPHAIL220831_2,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,covN1,,gcL,,3,0.0,ND,276.9230769,1.384615385,
68_TPHAIL220831_2_covN2_1_2022-09-02,TPHAIL220831_2,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-02,2022-09-02,solid,covN2,,gcL,,1,0.0,ND,276.9230769,1.384615385,
69_TPHAIL220831_2_covN2_2_2022-09-02,TPHAIL220831_2,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-02,2022-09-02,solid,covN2,,gcL,,2,0.0,ND,276.9230769,1.384615385,
70_TPHAIL220831_2_covN2_3_2022-09-02,TPHAIL220831_2,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-02,2022-09-02,solid,covN2,,gcL,,3,0.0,ND,276.9230769,1.384615385,
71_TPHAIL220831_2_nPMMoV_1_2022-09-02,TPHAIL220831_2,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,nPMMoV,,gcL,,1,5261595.35477142,B,276.9230769,1.384615385,WPB >35Ct
72_TPHAIL220831_2_nPMMoV_2_2022-09-02,TPHAIL220831_2,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,nPMMoV,,gcL,,2,5183690.18494628,B,276.9230769,1.384615385,WPB >35Ct
73_TPHAIL220831_2_nPMMoV_3_2022-09-02,TPHAIL220831_2,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-02,2022-09-02,solid,nPMMoV,,gcL,,3,5399167.56164954,B,276.9230769,1.384615385,WPB >35Ct
74_TPHAIL220906_1_covN1_1_2022-09-12,TPHAIL220906_1,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,covN1,,gcL,,1,34386.0558959515,,276.9230769,1.384615385,
75_TPHAIL220906_1_covN1_2_2022-09-12,TPHAIL220906_1,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,covN1,,gcL,,2,26263.1875605644,,276.9230769,1.384615385,
76_TPHAIL220906_1_covN1_3_2022-09-12,TPHAIL220906_1,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,covN1,,gcL,,3,28247.4011335952,,276.9230769,1.384615385,
77_TPHAIL220906_1_covN2_1_2022-09-12,TPHAIL220906_1,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-12,2022-09-12,solid,covN2,,gcL,,1,32331.4602931984,,276.9230769,1.384615385,
78_TPHAIL220906_1_covN2_2_2022-09-12,TPHAIL220906_1,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-12,2022-09-12,solid,covN2,,gcL,,2,27721.7814251139,,276.9230769,1.384615385,
79_TPHAIL220906_1_covN2_3_2022-09-12,TPHAIL220906_1,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-12,2022-09-12,solid,covN2,,gcL,,3,35911.6996409186,,276.9230769,1.384615385,
80_TPHAIL220906_1_nPMMoV_1_2022-09-12,TPHAIL220906_1,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,nPMMoV,,gcL,,1,4702923.31359918,B,276.9230769,1.384615385,WPB >35Ct
81_TPHAIL220906_1_nPMMoV_2_2022-09-12,TPHAIL220906_1,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,nPMMoV,,gcL,,2,4805156.79405327,B,276.9230769,1.384615385,WPB >35Ct
82_TPHAIL220906_1_nPMMoV_3_2022-09-12,TPHAIL220906_1,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,nPMMoV,,gcL,,3,4669331.14754247,B,276.9230769,1.384615385,WPB >35Ct
83_TPHAIL220906_2_covN1_1_2022-09-12,TPHAIL220906_2,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,covN1,,gcL,,1,28042.4136392708,,276.9230769,1.384615385,
