sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes
TPHAIL221130_1,TPHAIL,rawWW,cpTP24h,,2022-11-29 08:00:00,2022-11-30 08:00:00,0.5,,Yes,,,
TPHAIL221202_1,TPHAIL,rawWW,cpTP24h,,2022-12-01 08:00:00,2022-12-02 08:00:00,0.5,,Yes,,,
TPHAIL221205_1,TPHAIL,rawWW,cpTP24h,,2022-12-05 08:00:00,2022-12-06 08:00:00,0.5,,Yes,,,
TPHAIL221207_1,TPHAIL,rawWW,cpTP24h,,2022-12-06 08:00:00,2022-12-07 08:00:00,0.5,,Yes,,,
TPHAIL221209_1,TPHAIL,rawWW,cpTP24h,,2022-12-08 08:00:00,2022-12-09 08:00:00,0.5,,Yes,,,
TPHAIL221212_1,TPHAIL,rawWW,cpTP24h,,2022-12-11 08:00:00,2022-12-12 08:00:00,0.5,,Yes,,,
TPHAIL221214_1,TPHAIL,rawWW,cpTP24h,,2022-12-13 08:00:00,2022-12-14 08:00:00,0.5,,Yes,,,
TPHAIL221216_1,TPHAIL,rawWW,cpTP24h,,2022-12-15 08:00:00,2022-12-16 08:00:00,0.5,,Yes,,,
TPHAIL221219_1,TPHAIL,rawWW,cpTP24h,,2022-12-18 08:00:00,2022-12-19 08:00:00,0.5,,Yes,,,
TPHAIL221221_1,TPHAIL,rawWW,cpTP24h,,2022-12-20 08:00:00,2022-12-21 08:00:00,0.5,,Yes,,,
TPHAIL230109_1,TPHAIL,rawWW,cpTP24h,,2023-01-08 08:00:00,2023-01-09 08:00:00,0.5,,Yes,,,
TPHAIL230111_1,TPHAIL,rawWW,cpTP24h,,2023-01-10 08:00:00,2023-01-11 08:00:00,0.5,,Yes,,,
TPHAIL230113_1,TPHAIL,rawWW,cpTP24h,,2023-01-12 08:00:00,2023-01-13 08:00:00,0.5,,Yes,,,
TPHAIL230116_1,TPHAIL,rawWW,cpTP24h,,2023-01-15 08:00:00,2023-01-16 08:00:00,0.5,,Yes,,,
TPHAIL230118_1,TPHAIL,rawWW,cpTP24h,,2023-01-17 08:00:00,2023-01-18 08:00:00,0.5,,Yes,,,
TPHAIL230120_1,TPHAIL,rawWW,cpTP24h,,2023-01-19 08:00:00,2023-01-20 08:00:00,0.5,,Yes,,,
TPHAIL230123_1,TPHAIL,rawWW,cpTP24h,,2023-01-22 08:00:00,2023-01-23 08:00:00,0.5,,Yes,,,
